PhraseIDs	Polarity
19_kitchen_neg_13	negative
19_kitchen_neg_14	negative
19_kitchen_neg_15	negative
19_kitchen_neg_16	negative
19_kitchen_neg_17	negative
19_kitchen_neg_18	negative
19_kitchen_neg_19	negative
19_kitchen_neg_20	negative
19_kitchen_neg_21	negative
19_kitchen_neg_22	negative
19_kitchen_neg_23	negative
19_kitchen_neg_24	negative
19_kitchen_neg_25	negative
19_kitchen_neg_26	negative
19_kitchen_neg_27	negative
19_kitchen_neg_28	negative
19_kitchen_neg_29	negative
19_kitchen_neg_30	negative
19_kitchen_neg_31	negative
19_kitchen_neg_32	negative
19_kitchen_neg_33	negative
19_kitchen_neg_34	negative
19_kitchen_neg_35	negative
19_kitchen_neg_36	negative
4_gourmet_pos_1	negative
4_gourmet_pos_2	positive
4_gourmet_pos_3	negative
4_gourmet_pos_4	negative
4_gourmet_pos_5	negative
4_gourmet_pos_6	positive
4_gourmet_pos_7	positive
4_gourmet_pos_8	positive
4_gourmet_pos_9	positive
4_gourmet_pos_10	positive
4_gourmet_pos_11	positive
4_gourmet_pos_12	positive
4_gourmet_pos_13	positive
4_gourmet_pos_14	negative
4_gourmet_pos_15	negative
4_gourmet_pos_16	positive
4_gourmet_pos_17	positive
4_gourmet_pos_18	positive
4_gourmet_pos_19	positive
4_gourmet_pos_20	negative
4_gourmet_pos_21	negative
4_gourmet_pos_22	positive
4_gourmet_pos_23	positive
4_gourmet_pos_24	positive
4_gourmet_pos_25	positive
4_gourmet_pos_26	positive
4_gourmet_pos_27	positive
4_gourmet_pos_28	positive
4_gourmet_pos_29	positive
4_gourmet_pos_30	positive
4_gourmet_pos_31	positive
4_gourmet_pos_32	positive
4_gourmet_pos_33	negative
4_gourmet_pos_34	negative
4_gourmet_pos_35	negative
4_gourmet_pos_36	negative
4_gourmet_pos_37	negative
4_gourmet_pos_38	positive
4_gourmet_pos_39	negative
4_gourmet_pos_40	positive
4_gourmet_pos_41	positive
4_gourmet_pos_42	positive
4_gourmet_pos_43	positive
4_gourmet_pos_44	positive
4_gourmet_pos_45	negative
4_gourmet_pos_46	negative
4_gourmet_pos_47	positive
4_gourmet_pos_48	negative
4_gourmet_pos_49	negative
4_gourmet_pos_50	positive
4_gourmet_pos_51	positive
4_gourmet_pos_52	negative
4_gourmet_pos_53	negative
4_gourmet_pos_54	positive
4_gourmet_pos_55	positive
4_gourmet_pos_56	positive
4_gourmet_pos_57	positive
4_gourmet_pos_58	positive
4_gourmet_pos_59	positive
4_gourmet_pos_60	positive
4_gourmet_pos_61	negative
4_gourmet_pos_62	negative
4_gourmet_pos_63	negative
4_gourmet_pos_64	negative
4_gourmet_pos_65	negative
4_gourmet_pos_66	positive
11_gourmet_neg_1	positive
11_gourmet_neg_2	positive
11_gourmet_neg_3	positive
11_gourmet_neg_4	positive
11_gourmet_neg_5	negative
11_gourmet_neg_6	negative
11_gourmet_neg_7	negative
11_gourmet_neg_8	positive
11_gourmet_neg_9	positive
11_gourmet_neg_10	positive
11_gourmet_neg_11	negative
11_gourmet_neg_12	negative
11_gourmet_neg_13	negative
11_gourmet_neg_14	negative
11_gourmet_neg_15	negative
11_gourmet_neg_16	negative
17_cell_neg_1	negative
17_cell_neg_2	negative
17_cell_neg_3	negative
17_cell_neg_4	negative
17_cell_neg_5	negative
17_cell_neg_6	negative
17_cell_neg_7	negative
17_cell_neg_8	negative
17_cell_neg_9	negative
17_cell_neg_10	negative
17_cell_neg_11	negative
17_cell_neg_12	negative
17_cell_neg_13	negative
17_cell_neg_14	negative
17_cell_neg_15	negative
17_cell_neg_16	negative
17_cell_neg_17	negative
17_cell_neg_18	negative
17_cell_neg_19	negative
17_cell_neg_20	negative
17_cell_neg_21	negative
17_cell_neg_22	negative
17_cell_neg_23	negative
17_cell_neg_24	negative
17_cell_neg_25	negative
17_cell_neg_26	negative
17_cell_neg_27	positive
17_cell_neg_28	positive
17_cell_neg_29	negative
17_cell_neg_30	negative
17_cell_neg_31	positive
17_cell_neg_32	positive
17_cell_neg_33	positive
17_cell_neg_34	positive
17_cell_neg_35	negative
17_cell_neg_36	negative
17_cell_neg_37	negative
17_cell_neg_38	negative
17_cell_neg_39	negative
17_cell_neg_40	positive
17_cell_neg_41	negative
17_cell_neg_42	negative
17_cell_neg_43	positive
17_cell_neg_44	negative
17_cell_neg_45	negative
17_cell_neg_46	negative
17_cell_neg_47	negative
17_cell_neg_48	negative
12_cell_pos_1	positive
12_cell_pos_2	positive
12_cell_pos_3	positive
12_cell_pos_4	positive
12_cell_pos_5	positive
12_cell_pos_6	positive
12_cell_pos_7	positive
12_cell_pos_8	positive
12_cell_pos_9	positive
12_cell_pos_10	positive
12_cell_pos_11	positive
12_cell_pos_12	positive
12_cell_pos_13	positive
12_cell_pos_14	negative
12_cell_pos_15	negative
12_cell_pos_16	negative
12_cell_pos_17	positive
12_cell_pos_18	positive
12_cell_pos_19	negative
12_cell_pos_20	positive
12_cell_pos_21	positive
12_cell_pos_22	positive
12_cell_pos_23	negative
12_cell_pos_24	positive
12_cell_pos_25	positive
12_cell_pos_26	positive
12_cell_pos_27	negative
12_cell_pos_28	negative
12_cell_pos_29	negative
12_cell_pos_30	negative
12_cell_pos_31	negative
12_cell_pos_32	positive
12_cell_pos_33	positive
12_cell_pos_34	positive
12_cell_pos_35	negative
12_cell_pos_36	positive
12_cell_pos_37	positive
12_cell_pos_38	positive
12_cell_pos_39	positive
12_cell_pos_40	positive
12_cell_pos_41	positive
12_cell_pos_42	positive
12_cell_pos_43	negative
12_cell_pos_44	negative
12_cell_pos_45	negative
12_cell_pos_46	negative
12_cell_pos_47	negative
12_cell_pos_48	positive
12_cell_pos_49	positive
12_cell_pos_50	positive
12_cell_pos_51	positive
12_cell_pos_52	positive
12_cell_pos_53	positive
12_cell_pos_54	positive
12_cell_pos_55	positive
12_cell_pos_56	positive
12_cell_pos_57	positive
12_cell_pos_58	negative
12_cell_pos_59	negative
12_cell_pos_60	negative
12_cell_pos_61	negative
12_cell_pos_62	negative
12_cell_pos_63	negative
12_cell_pos_64	negative
12_cell_pos_65	negative
12_cell_pos_66	positive
12_cell_pos_67	negative
12_cell_pos_68	positive
12_cell_pos_69	negative
12_cell_pos_70	negative
12_cell_pos_71	negative
12_cell_pos_72	negative
12_cell_pos_73	positive
12_cell_pos_74	negative
12_cell_pos_75	positive
12_cell_pos_76	negative
12_cell_pos_77	negative
12_cell_pos_78	positive
12_cell_pos_79	negative
12_cell_pos_80	negative
12_cell_pos_81	negative
12_cell_pos_82	negative
12_cell_pos_83	negative
12_cell_pos_84	negative
12_cell_pos_85	negative
12_cell_pos_86	negative
12_cell_pos_87	positive
12_cell_pos_88	positive
12_cell_pos_89	positive
17_kitchen_pos_1	positive
17_kitchen_pos_2	positive
17_kitchen_pos_3	positive
17_kitchen_pos_4	positive
17_kitchen_pos_5	positive
17_kitchen_pos_6	positive
17_kitchen_pos_7	positive
17_kitchen_pos_8	positive
17_kitchen_pos_9	positive
17_kitchen_pos_10	positive
17_kitchen_pos_11	positive
17_kitchen_pos_12	positive
17_kitchen_pos_13	positive
17_kitchen_pos_14	positive
17_kitchen_pos_15	positive
17_kitchen_pos_16	positive
17_kitchen_pos_17	positive
17_kitchen_pos_18	positive
17_kitchen_pos_19	positive
17_kitchen_pos_20	positive
17_kitchen_pos_21	positive
17_kitchen_pos_22	positive
17_kitchen_pos_23	positive
17_kitchen_pos_24	negative
17_kitchen_pos_25	negative
17_kitchen_pos_26	negative
17_kitchen_pos_27	negative
17_kitchen_pos_28	negative
17_kitchen_pos_29	negative
17_kitchen_pos_30	positive
17_kitchen_pos_31	positive
17_kitchen_pos_32	positive
17_kitchen_pos_33	positive
17_kitchen_pos_34	negative
17_kitchen_pos_35	negative
17_kitchen_pos_36	negative
17_kitchen_pos_37	negative
17_kitchen_pos_38	negative
17_kitchen_pos_39	negative
17_kitchen_pos_40	positive
17_kitchen_pos_41	positive
17_kitchen_pos_42	positive
17_kitchen_pos_43	positive
17_kitchen_pos_44	positive
17_kitchen_pos_45	negative
17_kitchen_pos_46	positive
17_kitchen_pos_47	positive
17_kitchen_pos_48	positive
17_kitchen_pos_49	positive
17_kitchen_pos_50	positive
17_kitchen_pos_51	negative
17_kitchen_pos_52	negative
17_kitchen_pos_53	negative
17_kitchen_pos_54	negative
17_kitchen_pos_55	positive
17_kitchen_pos_56	positive
17_kitchen_pos_57	positive
2_kitchen_neg_1	positive
2_kitchen_neg_2	positive
2_kitchen_neg_3	negative
2_kitchen_neg_4	negative
2_kitchen_neg_5	negative
2_kitchen_neg_6	negative
2_kitchen_neg_7	negative
2_kitchen_neg_8	negative
2_kitchen_neg_9	negative
2_kitchen_neg_10	negative
2_kitchen_neg_11	negative
2_kitchen_neg_12	negative
2_kitchen_neg_13	negative
2_kitchen_neg_14	negative
2_kitchen_neg_15	negative
2_kitchen_neg_16	negative
2_kitchen_neg_17	negative
2_kitchen_neg_18	negative
2_kitchen_neg_19	negative
2_kitchen_neg_20	negative
2_kitchen_neg_21	negative
2_kitchen_neg_22	negative
2_kitchen_neg_23	negative
2_kitchen_neg_24	positive
2_kitchen_neg_25	negative
2_kitchen_neg_26	negative
2_kitchen_neg_27	negative
2_kitchen_neg_28	negative
2_kitchen_neg_29	negative
2_kitchen_neg_30	negative
2_kitchen_neg_31	negative
2_kitchen_neg_32	negative
2_kitchen_neg_33	negative
2_kitchen_neg_34	negative
2_kitchen_neg_35	negative
2_kitchen_neg_36	negative
2_kitchen_neg_37	negative
2_kitchen_neg_38	negative
2_kitchen_neg_39	negative
2_kitchen_neg_40	negative
2_kitchen_neg_41	negative
2_kitchen_neg_42	negative
2_kitchen_neg_43	negative
2_kitchen_neg_44	negative
2_kitchen_neg_45	negative
2_kitchen_neg_46	negative
2_kitchen_neg_47	negative
2_kitchen_neg_48	negative
2_kitchen_neg_49	negative
2_kitchen_neg_50	negative
2_kitchen_neg_51	negative
2_kitchen_neg_52	negative
2_kitchen_neg_53	negative
2_kitchen_neg_54	negative
2_kitchen_neg_55	negative
2_kitchen_neg_56	negative
2_kitchen_neg_57	negative
2_kitchen_neg_58	negative
2_kitchen_neg_59	negative
2_kitchen_neg_60	negative
2_kitchen_neg_61	negative
2_kitchen_neg_62	negative
2_kitchen_neg_63	negative
2_kitchen_neg_64	negative
2_kitchen_neg_65	negative
2_kitchen_neg_66	negative
2_kitchen_neg_67	negative
2_kitchen_neg_68	negative
2_kitchen_neg_69	negative
2_kitchen_neg_70	negative
2_kitchen_neg_71	positive
2_kitchen_neg_72	negative
2_kitchen_neg_73	negative
2_kitchen_neg_74	negative
2_kitchen_neg_75	negative
2_kitchen_neg_76	negative
2_kitchen_neg_77	negative
2_kitchen_neg_78	negative
2_kitchen_neg_79	negative
2_kitchen_neg_80	negative
2_kitchen_neg_81	negative
2_kitchen_neg_82	negative
2_kitchen_neg_83	negative
2_kitchen_neg_84	negative
2_kitchen_neg_85	negative
2_kitchen_neg_86	negative
2_kitchen_neg_87	negative
2_kitchen_neg_88	negative
2_kitchen_neg_89	negative
2_kitchen_neg_90	negative
2_kitchen_neg_91	negative
2_kitchen_neg_92	negative
2_kitchen_neg_93	negative
2_kitchen_neg_94	negative
2_kitchen_neg_95	negative
2_kitchen_neg_96	negative
2_kitchen_neg_97	negative
2_kitchen_neg_98	negative
2_kitchen_neg_99	negative
2_kitchen_neg_100	negative
2_kitchen_neg_101	negative
2_kitchen_neg_102	negative
2_kitchen_neg_103	negative
2_kitchen_neg_104	negative
2_kitchen_neg_105	negative
2_kitchen_neg_106	negative
2_kitchen_neg_107	positive
2_kitchen_neg_108	positive
2_kitchen_neg_109	positive
2_kitchen_neg_110	positive
2_kitchen_neg_111	positive
2_kitchen_neg_112	positive
2_kitchen_neg_113	positive
2_kitchen_neg_114	positive
2_kitchen_neg_115	negative
2_kitchen_neg_116	negative
2_kitchen_neg_117	negative
2_kitchen_neg_118	negative
2_kitchen_neg_119	negative
2_kitchen_neg_120	negative
2_kitchen_neg_121	negative
2_kitchen_neg_122	negative
2_kitchen_neg_123	negative
2_kitchen_neg_124	negative
2_kitchen_neg_125	negative
20_gourmet_pos_1	positive
20_gourmet_pos_2	positive
20_gourmet_pos_3	positive
20_gourmet_pos_4	positive
20_gourmet_pos_5	positive
20_gourmet_pos_6	positive
20_gourmet_pos_7	positive
20_gourmet_pos_8	positive
20_gourmet_pos_9	positive
20_gourmet_pos_10	positive
20_gourmet_pos_11	positive
20_gourmet_pos_12	positive
20_gourmet_pos_13	positive
20_gourmet_pos_14	positive
20_gourmet_pos_15	negative
20_gourmet_pos_16	negative
20_gourmet_pos_17	positive
20_gourmet_pos_18	negative
20_gourmet_pos_19	negative
20_gourmet_pos_20	negative
20_gourmet_pos_21	negative
20_gourmet_pos_22	positive
20_gourmet_pos_23	positive
20_gourmet_pos_24	positive
20_gourmet_pos_25	positive
20_gourmet_pos_26	positive
20_gourmet_pos_27	positive
20_gourmet_pos_28	positive
20_gourmet_pos_29	positive
20_gourmet_pos_30	positive
20_gourmet_pos_31	positive
20_gourmet_pos_32	positive
20_gourmet_pos_33	positive
20_gourmet_pos_34	positive
20_gourmet_pos_35	positive
20_gourmet_pos_36	positive
20_gourmet_pos_37	positive
20_gourmet_pos_38	positive
20_gourmet_pos_39	positive
20_gourmet_pos_40	positive
20_gourmet_pos_41	positive
20_gourmet_pos_42	positive
20_gourmet_pos_43	positive
20_gourmet_pos_44	positive
20_gourmet_pos_45	positive
20_gourmet_pos_46	positive
20_gourmet_pos_47	positive
10_gourmet_neg_1	negative
10_gourmet_neg_2	negative
10_gourmet_neg_3	negative
10_gourmet_neg_4	negative
10_gourmet_neg_5	negative
10_gourmet_neg_6	negative
10_gourmet_neg_7	negative
10_gourmet_neg_8	negative
10_gourmet_neg_9	negative
10_gourmet_neg_10	positive
10_gourmet_neg_11	negative
10_gourmet_neg_12	negative
10_gourmet_neg_13	negative
10_gourmet_neg_14	negative
10_gourmet_neg_15	negative
10_gourmet_neg_16	negative
10_gourmet_neg_17	negative
10_gourmet_neg_18	negative
10_gourmet_neg_19	negative
10_gourmet_neg_20	negative
10_gourmet_neg_21	negative
10_gourmet_neg_22	negative
10_gourmet_neg_23	negative
10_gourmet_neg_24	negative
10_gourmet_neg_25	negative
10_gourmet_neg_26	negative
