2_cell_pos_1	2_cell_pos_0
2_cell_pos_134	2_cell_pos_133
2_cell_pos_135	2_cell_pos_134
2_cell_pos_136	2_cell_pos_135
2_cell_pos_137	2_cell_pos_136
2_cell_pos_138	2_cell_pos_137
2_cell_pos_139	2_cell_pos_138
2_cell_pos_140	2_cell_pos_139
2_cell_pos_141	2_cell_pos_140
2_cell_pos_142	2_cell_pos_141
2_cell_pos_143	2_cell_pos_142
