PhraseIDs	Text
18_cell_pos_29	The  speaker  is  plently  loud  and  the  lack  of  high  frequencies  allows  you  to  tune  into  the  tonal  range 
18_cell_pos_30	where  us  humans  tend  to  converse  , 
18_cell_pos_31	without  having  the  voices 
18_cell_pos_32	washed  over  with  background  noise  . 
18_cell_pos_33	The  gels  block  an  appropriate  amount  of  external  sounds 
18_cell_pos_34	allowing  you  to  concentrate  on  the  discussion  at  hand  without  impeding  your  ability 
18_cell_pos_35	to  hear  say 
18_cell_pos_36	an  ambulance  while  driving  . 
18_cell_pos_37	There  is  a  small  slot  on  the  gels 
18_cell_pos_38	that  funnels  some  external  noise  to  your  drum  , 
18_cell_pos_39	while  the  rest  of  the  gel  fits  snug  to  the  ear 
18_cell_pos_40	blocking  out  other  stray  noise  paths  . 
18_cell_pos_41	I  `  ve  asked  people 
18_cell_pos_42	how  I  sound 
18_cell_pos_43	and  thus  far  the  feedback  has  been  positive  , 
18_cell_pos_44	my  voice  comes  through  loud  and  clear  despite  the  boom  's  apparent  lack  of  length  , 
18_cell_pos_45	reinforcing  my  belief 
18_cell_pos_46	that  size  DOES  N'T  matter  . 
18_cell_pos_47	In  fact  , 
18_cell_pos_48	I  have  found  the  mic  to  be  very  sensitive  to  even  small  sounds  . 
18_cell_pos_49	Forget  talking  on  the  phone 
18_cell_pos_50	and  subtly  typing  on  the  keyboard  our  mouse  click  surfing  - 
18_cell_pos_51	they  `  ll  hear  every  click  . 
18_cell_pos_52	Another  example  , 
18_cell_pos_53	I  was  in  my  house 
18_cell_pos_54	and  the  person  on  the  other  end  could  hear  the  kids 
18_cell_pos_55	playing  in  the  pool  40  feet  away 
18_cell_pos_56	with  the  house  windows  closed  !  ! 
18_cell_pos_57	Yes  ,  the  mic  is  that  sensitive  . 
18_cell_pos_58	Even  while  driving  they  could  hear 
18_cell_pos_59	when  I  shifted  gears  . 
18_cell_pos_60	Not  that  it  's  obtrusive  to  the  other  person  on  the  phone  , 
18_cell_pos_61	it  's  just  good  to  be  aware 
18_cell_pos_62	they  can  hear  it  all  . 
18_cell_pos_63	What  more  to  say  about  such  a  simple  device  . 
18_cell_pos_64	Form  Fit  and  Function  are  all  there  and  I  would  recommend  this  product  . 
18_cell_pos_65	In  fact  , 
18_cell_pos_66	I  just  ordered  another  - 
18_cell_pos_67	it  makes  a  great  gift 
13_kitchen_pos_1	I  have  been  using  a  Chemex  10-cup  coffee  maker  for  several  weeks  and  have  never  had  such  good  coffee  before  in  my  life  . 
13_kitchen_pos_2	I  am  constantly  looking  forward  to  my  next  pot  of  coffee  ! 
13_kitchen_pos_3	There  is  a  downside  to  this  coffee  maker  : 
13_kitchen_pos_4	it  is  a  more  manual  procedure  than  what  you  are  used  to  , 
13_kitchen_pos_5	and  it  also  takes  a  couple  of  pots 
13_kitchen_pos_6	to  learn 
13_kitchen_pos_7	how  to  use  this  most  efficiently  . 
13_kitchen_pos_8	The  first  time  I  tried  to  use  mine  , 
13_kitchen_pos_9	I  had  ground  my  coffee  way  too  finely  and  it  just  took  forever  ! 
13_kitchen_pos_10	The  big  time  consumers  : 
13_kitchen_pos_11	you  have  to  boil  your  water  separately 
13_kitchen_pos_12	-LRB-  you  do  have  a  water  kettle  right  ?  -RRB- 
13_kitchen_pos_13	and  then  you  have  to  gradually  pour  the  boiled  water  through  the  Chemex  . 
13_kitchen_pos_14	This  means  that  while  the  coffee  is  brewing  , 
13_kitchen_pos_15	you  are  pouring  ,  or  watching  ,  or  giving  the  filter  area  a  bit  of  a  stir  . 
13_kitchen_pos_16	Now  the  up  side  : 
13_kitchen_pos_17	you  will  never  ever  ever  drink  a  better  cup  of  coffee  . 
13_kitchen_pos_18	I  use  filtered  water  ,  freshly  ground  home  roasted  beans  ,  and  this  Chemex  to  produce  the  finest  coffee 
13_kitchen_pos_19	I  have  ever  had  the  pleasure  of  drinking  . 
13_kitchen_pos_20	And  this  coffee  is  a  pleasure  ! 
13_kitchen_pos_21	In  fact  , 
13_kitchen_pos_22	I  `  ve  totally  given  up  using  cream  and  sugar 
13_kitchen_pos_23	because  my  coffee  no  longer  has  anything  to  hide  . 
13_kitchen_pos_24	Another  up  side  : 
13_kitchen_pos_25	clean  up  means 
13_kitchen_pos_26	swishing  the  Chemex  with  warm  water 
13_kitchen_pos_27	and  tossing  the  water  down  the  drain  . 
13_kitchen_pos_28	You  can  also  wash  with  a  bottle  brush 
13_kitchen_pos_29	but  this  is  rarely  necessary  . 
13_kitchen_pos_30	A  brief  swish  is  really  all 
13_kitchen_pos_31	it  takes  to  get  your  Chemex 
13_kitchen_pos_32	looking  factory  new  . 
13_kitchen_pos_33	Try  that  with  your  electric  drip  machine  ! 
13_kitchen_pos_34	Ha  !  That  thing  will  NEVER  look  brand  new  ! 
13_kitchen_pos_35	Oh  ,  here  's  a  final  upside  : 
13_kitchen_pos_36	this  Chemex  brews  the  best  coffee 
13_kitchen_pos_37	you  `  ll  ever  drink  , 
13_kitchen_pos_38	and  it  costs  less  than  just  about  anything  . 
13_kitchen_pos_39	You  are  probably  already  spending  more  money  than  this  every  month  at  Starbucks  ! 
13_kitchen_pos_40	Go  ahead 
13_kitchen_pos_41	and  buy  yourself  one  of  these  . 
13_kitchen_pos_42	If  necessary  ,  wake  up  10  minutes  earlier  to  make  your  coffee  . 
13_kitchen_pos_43	Better  yet  ,  wake  up  20  minutes  earlier  . 
13_kitchen_pos_44	And 
13_kitchen_pos_45	when  your  coffee  is  ready  ,  instead  of  dumping  it  into  a  travel  cup 
13_kitchen_pos_46	and  bolting  out  the  door  ,  sit  down 
13_kitchen_pos_47	and  enjoy  your  first  cup  for  the  next  10  minutes  . 
13_kitchen_pos_48	You  deserve  it  ! 
13_kitchen_pos_49	UPDATE  : 
13_kitchen_pos_50	It  's  been  a  year  now 
13_kitchen_pos_51	and  I  still  love  this  Chemex  . 
13_kitchen_pos_52	However  ,  over  time  the  glass  acquired  a  coffee  color  tinge 
13_kitchen_pos_53	that  gradually  became  darker  with  each  use  . 
13_kitchen_pos_54	Nothing  I  tried  got  it  clean  , 
13_kitchen_pos_55	but  something  my  wife  tried  did  : 
13_kitchen_pos_56	a  splash  of  bleach  in  otherwise  clean  water 
13_kitchen_pos_57	followed  by  a  thorough  swishing  . 
13_kitchen_pos_58	Now  my  Chemex 
13_kitchen_pos_59	looks  brand  new 
6_kitchen_neg_1	My  wife  bought  this  one  from  Best  Buy  without  me  reviewing 
6_kitchen_neg_2	it  1st  . 
6_kitchen_neg_3	Amazingly  , 
6_kitchen_neg_4	I  would  have  bought  it  after  reading  the  reviews  here  . 
6_kitchen_neg_5	I  'm  starting  to  wonder 
6_kitchen_neg_6	who  writes  these  things  .  .  . 
6_kitchen_neg_7	LG  employees  ? 
6_kitchen_neg_8	The  microwave  is  fine  -  no  complaints  . 
6_kitchen_neg_9	The  toaster  ,  however  ,  is  an  unmitigated  disaster  . 
6_kitchen_neg_10	I  am  of  the  opinion  that  you  should  rarely  combine  appliances 
6_kitchen_neg_11	-  this  appliance  is  a  poster  child  for  this  thought  . 
6_kitchen_neg_12	The  toaster  browns  extremely  unevenly  and  inconsistently 
6_kitchen_neg_13	-LRB-  sometimes  you  should  toast  the  same  piece  of  bread  on  5 
6_kitchen_neg_14	and  sometimes  as  high  as  10  !  -RRB-  . 
6_kitchen_neg_15	More  importantly  ,  the  toaster  broke 
6_kitchen_neg_16	after  31  days 
6_kitchen_neg_17	-LRB-  coincidently  the  Best  Buy  return  policy 
6_kitchen_neg_18	ends  at  the  same  time  - 
6_kitchen_neg_19	Best  Buy  has  an  unacceptable  return  policy 
6_kitchen_neg_20	"but  with  a  guy  named  ""  Ricky  "" "
6_kitchen_neg_21	managing  the  store 
6_kitchen_neg_22	what  can  you  expect  ?  -RRB-  . 
6_kitchen_neg_23	LG  picks  up  the  phone  quickly 
6_kitchen_neg_24	and  they  honor  the  warranty  . 
6_kitchen_neg_25	The  problem  is  they  ca  n't  think  outside  of  the  box  . 
6_kitchen_neg_26	They  had  me  get  it  repaired 
6_kitchen_neg_27	but  I  have  to  inconveniently  drive  it  out  there 
6_kitchen_neg_28	and  pick  it  up  -  OK  .  .  . 
6_kitchen_neg_29	no  problem  . 
6_kitchen_neg_30	One  day  later  ? 
6_kitchen_neg_31	It  breaks  again  . 
6_kitchen_neg_32	It  is  an  extremely  poorly  built  appliance  and  the  repair  people  thought 
6_kitchen_neg_33	they  had  fixed  it 
6_kitchen_neg_34	and  had  not  . 
6_kitchen_neg_35	That  's  how  bad  it  was  . 
6_kitchen_neg_36	LG  will  not  budge  -  have 
6_kitchen_neg_37	it  repaired  again 
6_kitchen_neg_38	-LRB-  great  option  -  costs  LG  money  , 
6_kitchen_neg_39	me  more  travel  time  , 
6_kitchen_neg_40	and  it  wo  n't  do  the  job  -RRB- 
6_kitchen_neg_41	or  do  a  rebate  . 
6_kitchen_neg_42	The  rebate  requires  me  to  buy  another  LG  or  Goldstar  product  . 
6_kitchen_neg_43	Huh  ? 
6_kitchen_neg_44	So  you  create  a  shoddy  product 
6_kitchen_neg_45	and  rush  it  to  the  marketplace 
6_kitchen_neg_46	-LRB-  they  admitted 
6_kitchen_neg_47	they  do  n't  have  a  detailed  enough  repair  history 
6_kitchen_neg_48	because  it  is  too  new  -RRB- 
6_kitchen_neg_49	and  then  do  n't  stand  behind  your  product  . 
6_kitchen_neg_50	You  backend 
6_kitchen_neg_51	me  into  another  LG  or  Goldstar  product  that  I  would  not  have  otherwise  bought  . 
6_kitchen_neg_52	How  does  our  government  allow  these  atrocious  foreign  companies  to  business  here  ? 
6_kitchen_neg_53	Our  we  so  bad  as  a  manufacturer 
6_kitchen_neg_54	that  we  ca  n't  top  this  ? 
6_kitchen_neg_55	Their  supervisors  were  very  hardlined  and  there  was  no 
6_kitchen_neg_56	getting  around  this  . 
6_kitchen_neg_57	You  can  cal  Korea 
6_kitchen_neg_58	"but  they  wo  n't  change  their  policy  "" "
6_kitchen_neg_59	they  said  . 
6_kitchen_neg_60	I  will  never  willingly  buy  another  LG  or  Goldstar  product 
6_kitchen_neg_61	and  I  highly  recommend 
6_kitchen_neg_62	you  do  the  same  . 
6_kitchen_neg_63	Shame  on  you  LG  -  you  could  have  had  me  as  an  appliance  buyer  for  the  next  50  years 
6_kitchen_neg_64	and  now  your  name  is  mud  to  me 
1_gourmet_pos_1	Once  you  see  the  book 
1_gourmet_pos_2	that  accompanies  this  starter  kit  , 
1_gourmet_pos_3	you  will  realize  two  things  . 
1_gourmet_pos_4	You  wo  n't  be  making  sushi  anytime  soon  without  a  few  more  items  . 
1_gourmet_pos_5	Not  only  do 
1_gourmet_pos_6	you  need  fresh  ingredients  , 
1_gourmet_pos_7	you  need  things 
1_gourmet_pos_8	that  are  listed  in  the  recipes  to  make  Miso  , 
1_gourmet_pos_9	to  make  Number-one  Dashi  and  Number-two  Dashi  . 
1_gourmet_pos_10	You  need  Bonito  flakes  and  kombu  , 
1_gourmet_pos_11	you  need  things  like  bamboo  leaves  too  . 
1_gourmet_pos_12	OK  , 
1_gourmet_pos_13	so  you  do  n't  need  bamboo  leaves  , 
1_gourmet_pos_14	but  having  a  bamboo  plant  around  the  house  would  n't  hurt  . 
1_gourmet_pos_15	The  book  is  especially  helpful  , 
1_gourmet_pos_16	but  to  make  the  sushi  rice  professionally  , 
1_gourmet_pos_17	you  do  need  to  also  order  a  rice-cooling  tub 
1_gourmet_pos_18	-LRB-  hangiri  -RRB-  . 
1_gourmet_pos_19	A  square  omelet  pan  is  needed  , 
1_gourmet_pos_20	but  not  essential  . 
1_gourmet_pos_21	You  can  adapt  by  using  a  regular  pan  . 
1_gourmet_pos_22	Just  add  your  fresh  ingredients  is  the  understatement  of  the  year  . 
1_gourmet_pos_23	You  do  get  a  sushi  press  ,  a  sushi  mat  and  Nishiki  Sushi  rice  . 
1_gourmet_pos_24	The  sushi  Nori  is  essential 
1_gourmet_pos_25	as  is  the  ginger  ,  wassabi  ,  soy  sauce  ,  rice  vinegar  ,  sweet  wine 
1_gourmet_pos_26	-LRB-  mirin  -RRB- 
1_gourmet_pos_27	and  white  sesame  seeds  . 
1_gourmet_pos_28	Other  items  you  will  want  to  have  on  hand 
1_gourmet_pos_29	when  this  arrives  : 
1_gourmet_pos_30	Chopsticks 
1_gourmet_pos_31	Ginger  Grater 
1_gourmet_pos_32	Chopping  Board 
1_gourmet_pos_33	Fish  Knives 
1_gourmet_pos_34	-LRB-  sushi  knives  -RRB- 
1_gourmet_pos_35	Plates  for  serving  Sushi 
1_gourmet_pos_36	-LRB-  not  essential  but  make 
1_gourmet_pos_37	it  more  interesting  -RRB- 
1_gourmet_pos_38	Skewers  -  for  when  you  cook  shrimp 
1_gourmet_pos_39	Rice  Maker 
1_gourmet_pos_40	Stainless  Steel  Colander 
1_gourmet_pos_41	Wooden  Rice  Paddle  -  or  you  can  use  a  wooden  spoon 
1_gourmet_pos_42	Ingredients  : 
1_gourmet_pos_43	Avocados 
1_gourmet_pos_44	Cucumber 
1_gourmet_pos_45	Carrots 
1_gourmet_pos_46	Asparagus 
1_gourmet_pos_47	Chives 
1_gourmet_pos_48	Eggplant 
1_gourmet_pos_49	Daikon  Radish 
1_gourmet_pos_50	Fresh  Shiitake  mushrooms 
1_gourmet_pos_51	Lotus  Root 
1_gourmet_pos_52	Kombu 
1_gourmet_pos_53	Miso  paste 
1_gourmet_pos_54	Ocha  -  tea 
1_gourmet_pos_55	Sake 
1_gourmet_pos_56	Shiso  -  an  aromatic  herb 
1_gourmet_pos_57	Snow  Peas 
1_gourmet_pos_58	Sushi  Vinegar  called  Awasezu 
1_gourmet_pos_59	Tofu  -  various  types  but  Japanese  Silken  is  recommended 
1_gourmet_pos_60	Wakame  Seaweed 
1_gourmet_pos_61	Recommended  Seafood  selections  include  : 
1_gourmet_pos_62	Mackerel  ,  Salmon  , 
1_gourmet_pos_63	Crabs  ,  Blue-Eye  Cod  ,  Tuna  ,  Herring  ,  Sea  Bass  and  numerous  other  selections  . 
1_gourmet_pos_64	I  will  be  making  mine  with  cooked  fish  for  the  most  part  and  many  of  the  recipes  indicate 
1_gourmet_pos_65	cooking  the  shrimp  . 
1_gourmet_pos_66	The  book  gives  excellent  full-color  picture  step-by-step  instructions  for  preparing 
1_gourmet_pos_67	seafood  . 
1_gourmet_pos_68	Everything  from  cleaning  squid  to  angled  cuts  for  sahimi  . 
1_gourmet_pos_69	Prepare  to  learn  an  ancient  art  form  . 
1_gourmet_pos_70	This  is  serious 
1_gourmet_pos_71	cooking  with  gourmet  appeal  . 
1_gourmet_pos_72	There  are  instructions  for  making  garnishes  and  dipping  sauces  . 
1_gourmet_pos_73	The  Tuna  Rolls  are  probably  going  to  be  one  of  the  first  items  to  make 
1_gourmet_pos_74	because  they  have  few  ingredients 
1_gourmet_pos_75	and  you  do  n't  need  anything  except  a  rice  cooker  ,  sushi  vinegar  and  the  rolling  mat  . 
1_gourmet_pos_76	The  California-roll-style  Temaki-zushi  also  look  fairly  tame  . 
1_gourmet_pos_77	The  Nigiri-Zushi 
1_gourmet_pos_78	made  in  sushi  bars  seem  a  little  more  complex  . 
1_gourmet_pos_79	To  make  a  simple  Inari-Zushi 
1_gourmet_pos_80	you  need  tofu 
1_gourmet_pos_81	and  there  are  extensive  instructions  for  how  to  make  the  little  packets  or  pouches  for  rice  . 
1_gourmet_pos_82	These  seem  very  interesting  and  I  `  ve  tasted  them  before 
1_gourmet_pos_83	and  definitely  look  forward  to  trying  to  make  them  . 
1_gourmet_pos_84	The  idea  of  a  Chirashi-Zushi  rice  bowl  is  interesting 
1_gourmet_pos_85	and  does  not  require  a  great  deal  of  artistic  application  . 
1_gourmet_pos_86	So  , 
1_gourmet_pos_87	if  you  want  to  make  a  full  sushi  meal  , 
1_gourmet_pos_88	it  gets  a  little  more  complex  , 
1_gourmet_pos_89	but  you  can  try  out  various  recipes 
1_gourmet_pos_90	"and  master  the  ""  dashi  "" "
1_gourmet_pos_91	which  is  like  a  fish  stock\/soup 
1_gourmet_pos_92	made  with  kombu  and  bonito  flakes  . 
1_gourmet_pos_93	This  knowledge  is  of  course 
1_gourmet_pos_94	needed  to  make  the  sushi  rice  , 
1_gourmet_pos_95	which  leads  me  right  back  to  needing  a  hangiri  . 
1_gourmet_pos_96	I  suppose  you  can  use  a  glass  bowl  instead  . 
1_gourmet_pos_97	This  sushi  kit  is  truly  only  a  brief  start  to  an  artistic  journey  . 
1_gourmet_pos_98	Even  after  ordering  this  you  may  find  you  need  a  few  more  items 
1_gourmet_pos_99	before  you  can  start  taking  steps  in  the  direction  of  actually  making  sushi  . 
1_gourmet_pos_100	I  will  report  back 
1_gourmet_pos_101	as  I  try  various  recipes 
1_gourmet_pos_102	and  all 
1_gourmet_pos_103	I  can  say 
1_gourmet_pos_104	is  this  will  require  an  adventurous  spirit  and  a  few  more  Amazon  orders  . 
1_gourmet_pos_105	Once  you  have  the  Sushi  book  , 
1_gourmet_pos_106	things  start  to  become  more  clear  and  you  can  make  a  list  of  things 
1_gourmet_pos_107	to  order  . 
1_gourmet_pos_108	~  The  Rebecca  Review 
15_gourmet_neg_1	As  a  vegan  , 
15_gourmet_neg_2	I  have  tried  just  about  every  tofu  product  on  the  market  ,  and  nothing  ever  came  close  to  the  terrible  texture  of  these  noodles  . 
15_gourmet_neg_3	The  smell 
15_gourmet_neg_4	when  you  opened  the  bag  was  not  pleasant  , 
15_gourmet_neg_5	but  if  you  wash  them  off 
15_gourmet_neg_6	and  parboil  , 
15_gourmet_neg_7	that  goes  away  , 
15_gourmet_neg_8	but  is  replaced  with  a  slightly  sweet  smell  that  I  disliked  almost  as  much  . 
15_gourmet_neg_9	But  I  kept  an  open  mind  , 
15_gourmet_neg_10	cooked  the  noodles  for  a  few  minutes  ,  added  my  favorite  sauce  and  fresh  ground  pepper  with  some  soy  cheese 
15_gourmet_neg_11	grated  on  top  . 
15_gourmet_neg_12	Whoever  said 
15_gourmet_neg_13	it  was  like  eating  rubber  bands  was  exactly  on  target  , 
15_gourmet_neg_14	they  are  incredibly  chewy  and  just  do  n't  taste  that  great  either  . 
15_gourmet_neg_15	Even  as  a  low  calorie  food  , 
15_gourmet_neg_16	it  seems  like  a  waste 
15_gourmet_neg_17	to  spend  40  calories  on  these  noodles  . 
15_cell_neg_1	I  got  this  phone  basically  for  free  , 
15_cell_neg_2	but  even  taking  that  into  account  , 
15_cell_neg_3	I  'm  pretty  disappointed  with  the  phone  . 
15_cell_neg_4	This  is  my  first  Samsung 
15_cell_neg_5	and  , 
15_cell_neg_6	I  'm  pretty  sure  ,  my  last  one  ! 
15_cell_neg_7	I  owned  a  Nokia  before 
15_cell_neg_8	and  I  regret 
15_cell_neg_9	"that  I  ""  betrayed  "" "
15_cell_neg_10	it  . 
15_cell_neg_11	From  now  I  would  n't  get  anything  besides  Nokia  and  in  the  worst  case  maybe  Sony-Ericsson  . 
15_cell_neg_12	"So  here  is  a  short  list  of  those  ""  little  things  "" "
15_cell_neg_13	that  make  your  life  ,  with  this  phone 
15_cell_neg_14	-LRB-  and  it  's  combination  with  T-Mobile  -RRB-  , 
15_cell_neg_15	annoying  : 
15_cell_neg_16	-  the  keys  are  not  comfortable  to  use  . 
15_cell_neg_17	-  it  's  not  really  comfortable  to  open\/close  the  slider 
15_cell_neg_18	and  to  make 
15_cell_neg_19	it  easier 
15_cell_neg_20	you  have  to  put  your  thumb  on  the  screen 
15_cell_neg_21	which  leaves  is  greasy  all  the  time  . 
15_cell_neg_22	-  putting  a  comma  , 
15_cell_neg_23	while  writing  a  text  message  ,  capitalizes  the  next  word  - 
15_cell_neg_24	what  is  the  logic  in  that  ?  ! 
15_cell_neg_25	-LRB-  it  annoys  me 
15_cell_neg_26	because  i  do  use  text  messages  a  lot  -RRB- 
15_cell_neg_27	-  you  ca  n't  set  the  camera  shutter  to  be  silent  .  .  . 
15_cell_neg_28	-  you  can  only  save  1  phone  type  for  each  category  - 
15_cell_neg_29	what  if  the  person  has  2  business  phones  .  .  . 
15_cell_neg_30	-  you  can  not  choose  the  e-mail  address  of  a  person  from  the  contact  list 
15_cell_neg_31	when  you  want  to  send  a  picture  message  to  an  e-mail  address  . 
15_cell_neg_32	And  there  is  a  lot  more  of  those  little  illogical  things 
15_cell_neg_33	that  were  just  not  thought  through  , 
15_cell_neg_34	like  it  would  `  ve  been  in  a  Nokia 
15_cell_neg_35	-LRB-  even  in  a  model  5  years  old  !  -RRB- 
15_cell_neg_36	Oh  yeah  , 
15_cell_neg_37	"and  T-Mobile  really  ""  contributed  ""  to  the  ""  greatness  "" "
15_cell_neg_38	of  this  phone  , 
15_cell_neg_39	removing  some  of  the  features  and  limiting  others  ,  like  setting  your  mp3  as  a  ringtone 
15_cell_neg_40	-LRB-  although  ,  there  is  an  easy  hack  around  it  : 
15_cell_neg_41	just  change  the  extension  from  .  mp3  to  .3  gp 
1_cell_pos_1	I  think  this  is  a  pretty  good  earpiece  .  .  . 
1_cell_pos_2	granted  , 
1_cell_pos_3	I  `  ve  only  used  one  other 
1_cell_pos_4	-LRB-  it  was  a  flimsy  little  thing 
1_cell_pos_5	that  came  w  \/  my  friend  's  Nokia  -RRB-  , 
1_cell_pos_6	but  this  one  far  surpasses  that  one  in  sound  quality  and  comfort  . 
1_cell_pos_7	Where  my  friend  's  would  fall  out  of  my  ear  ,  this  one 
1_cell_pos_8	-LRB-  once  I  got 
1_cell_pos_9	it  figured  out  -RRB- 
1_cell_pos_10	never  comes  loose  . 
1_cell_pos_11	Second  , 
1_cell_pos_12	listening  to  people  on  my  friend  's  , 
1_cell_pos_13	I  would  have  to  turn  up  the  sound  to  hear  the  person  well  , 
1_cell_pos_14	and  then  they  sounded  muffled  and  distorted  ; 
1_cell_pos_15	but  on  my  Jabra 
1_cell_pos_16	I  can  actually  turn  down  the  volume  on  my  phone 
1_cell_pos_17	and  they  sound  crisp  and  clear  --  moreso  than  when  I  'm  not  using  the  earpiece  . 
1_cell_pos_18	Finally  , 
1_cell_pos_19	when  my  friend  calls  me 
1_cell_pos_20	and  uses  her  earpiece  , 
1_cell_pos_21	she  sounds  distant 
1_cell_pos_22	and  muffled  ; 
1_cell_pos_23	I  `  ve  had  no  complaints  from  the  people 
1_cell_pos_24	I  'm  talking  to  using  the  Jabra  , 
1_cell_pos_25	and  , 
1_cell_pos_26	in  fact  , 
1_cell_pos_27	my  mom  said 
1_cell_pos_28	it  sounds  better 
1_cell_pos_29	when  I  use  the  EarBoom  than  when  I  do  n't  . 
