word	pos	polarity	strength
adventuresome	NN	positive	1.0
adventurism	NN	positive	1.0
adventurous	JJ	positive	0.5
adversarial	JJ	negative	0.5
adversary	NN	negative	0.5
adverse	JJ	negative	0.5
adversity	NN	negative	1.0
advice	JJ	positive	0.5
advice	NN	positive	0.5
advisable	NN	positive	0.5
advocate	VB	positive	1.0
advocacy	NN	positive	1.0
affable	JJ	positive	1.0
affability	NN	positive	0.5
affably	RB	positive	0.5
affect	VB	neutral	0.5
affectation	NN	negative	0.5
affected	JJ	neutral	1.0
affection	JJ	positive	1.0
affection	NN	positive	1.0
affectionate	JJ	positive	1.0
affinity	NN	positive	0.5
affirm	VB	positive	1.0
affirmation	JJ	positive	1.0
affirmation	NN	positive	1.0
affirmative	NN	positive	0.5
afflict	VB	negative	0.5
affliction	NN	negative	0.5
afflictive	JJ	negative	1.0
affluent	JJ	positive	0.5
affluence	NN	positive	0.5
afford	VB	positive	0.5
affordable	JJ	positive	0.5
affront	NN	negative	1.0
affront	VB	negative	1.0
afloat	JJ	positive	0.5
afraid	JJ	negative	1.0
against		negative	0.5
aggravate	VB	negative	1.0
aggravating	JJ	negative	1.0
aggravation	NN	negative	1.0
aggression	JJ	negative	1.0
aggression	NN	negative	1.0
aggressive		negative	1.0
aggressiveness	NN	negative	1.0
aggressor	NN	negative	1.0
aggrieve	VB	negative	1.0
aggrieved	JJ	negative	1.0
aghast	JJ	negative	1.0
agile	JJ	positive	0.5
agilely	RB	positive	0.5
agility	NN	positive	0.5
agitate	VB	negative	1.0
agitated	JJ	negative	1.0
agitation	NN	negative	1.0
agitator	NN	negative	1.0
agonies	NN	negative	1.0
agonize	VB	negative	1.0
agonizing	JJ	negative	1.0
agonizing		negative	1.0
agonizingly		negative	1.0
agony	NN	negative	1.0
agree	VB	positive	1.0
agreeability		positive	1.0
agreeable	JJ	positive	0.5
agreeable		positive	1.0
agreeableness		positive	1.0
agreeably		positive	1.0
agreement	JJ	positive	0.5
agreement	NN	positive	0.5
aha		neutral	1.0
ail	NN	negative	0.5
ail	VB	negative	0.5
ailment	NN	negative	0.5
aimless	JJ	negative	1.0
air	VB	neutral	1.0
airs	JJ	negative	0.5
airs	NN	negative	0.5
alarm	JJ	negative	0.5
alarm	VB	negative	0.5
alarmed	JJ	negative	1.0
alarming	JJ	negative	1.0
alarmingly		negative	1.0
alas		negative	1.0
alert	JJ	neutral	0.5
alienate	VB	negative	0.5
alienated	JJ	negative	0.5
alienation	NN	negative	0.5
all-time	JJ	neutral	0.5
all-time	NN	neutral	0.5
allay	VB	positive	1.0
allegation		negative	1.0
allegations	JJ	negative	1.0
allege	VB	negative	0.5
allegations	NN	negative	1.0
allegorize	VB	neutral	1.0
allergic	JJ	negative	0.5
alleviate	VB	positive	0.5
alliance		neutral	1.0
alliances	JJ	neutral	1.0
alliances	NN	neutral	1.0
allow	VB	positive	0.5
allowable	JJ	positive	0.5
allure	VB	positive	1.0
allure	NN	positive	1.0
alluring		positive	1.0
alluringly		positive	1.0
allusion	JJ	neutral	1.0
allusion	NN	neutral	1.0
allusions		neutral	1.0
ally	NN	positive	1.0
almighty	JJ	positive	1.0
aloof	JJ	negative	1.0
altercation	NN	negative	0.5
although		negative	0.5
altogether		neutral	1.0
altruist	NN	positive	1.0
altruistic	JJ	positive	1.0
altruistically	JJ	positive	1.0
amaze	VB	positive	1.0
amazed	JJ	positive	1.0
amazement	NN	positive	1.0
amazing	JJ	positive	1.0
amazing		positive	1.0
amazingly		positive	1.0
ambiguous	JJ	negative	1.0
ambiguity	NN	negative	1.0
ambitious	JJ	positive	0.5
ambitious	NN	positive	0.5
ambitiously		positive	0.5
ambivalence		negative	1.0
ambivalent	JJ	negative	1.0
ambivalent	NN	negative	1.0
ambush	NN	negative	0.5
ambush	VB	negative	0.5
ameliorate	VB	positive	1.0
amenable	JJ	positive	1.0
amenity	NN	positive	0.5
amiability	NN	positive	1.0
amiabily	RB	positive	1.0
amiable	JJ	positive	1.0
amicability	NN	positive	1.0
amicable	JJ	positive	1.0
amicably	RB	positive	1.0
amiss		negative	1.0
amity	JJ	positive	0.5
amity	NN	positive	0.5
amnesty	NN	positive	0.5
amour	NN	positive	1.0
ample	JJ	positive	0.5
amply	RB	positive	0.5
amplify	VB	neutral	0.5
amputate	VB	negative	0.5
amuse	VB	positive	1.0
amusement	JJ	positive	1.0
amusement	NN	positive	1.0
amusing	JJ	positive	1.0
amusing		positive	1.0
amusingly		positive	1.0
analytical	JJ	neutral	0.5
anarchism	NN	negative	1.0
anarchist	NN	negative	1.0
anarchistic	JJ	negative	1.0
anarchy	NN	negative	1.0
anemic	JJ	negative	0.5
angel	NN	positive	0.5
angelic	JJ	positive	1.0
anger	JJ	negative	1.0
anger	NN	negative	1.0
anger	VB	negative	1.0
angrily		negative	1.0
angriness		negative	1.0
angry	JJ	negative	1.0
anguish	NN	negative	1.0
anguish	VB	negative	1.0
annihilate	VB	negative	1.0
annihilation	NN	negative	1.0
animated	JJ	positive	0.5
animosity	NN	negative	1.0
annoy	VB	negative	1.0
annoyance	NN	negative	1.0
annoyed	JJ	negative	1.0
annoying	JJ	negative	1.0
annoying		negative	1.0
annoyingly		negative	1.0
anomalous	JJ	negative	0.5
anomaly	NN	negative	0.5
antagonism	NN	negative	1.0
antagonist	NN	negative	0.5
antagonistic	JJ	negative	1.0
antagonize	VB	negative	1.0
anti-	NN	negative	1.0
anti-American	JJ	negative	1.0
anti-American	NN	negative	1.0
anti-Israeli	JJ	negative	1.0
anti-Israeli	NN	negative	1.0
anti-Semites	JJ	negative	1.0
anti-Semites	NN	negative	1.0
anti-US	JJ	negative	1.0
anti-US	NN	negative	1.0
anti-occupation	JJ	negative	1.0
anti-occupation	NN	negative	1.0
anti-proliferation	JJ	negative	1.0
anti-proliferation	NN	negative	1.0
anti-social	JJ	negative	1.0
anti-white	JJ	negative	1.0
anti-white	NN	negative	1.0
antipathy	NN	negative	1.0
antiquated	JJ	negative	1.0
antithetical	JJ	negative	1.0
antithetical	NN	negative	1.0
anxieties	NN	negative	1.0
anxiety	NN	negative	1.0
anxious		negative	1.0
anxiously		negative	1.0
anxiousness	NN	negative	1.0
anyhow		neutral	1.0
anyway		neutral	1.0
anyways		neutral	1.0
apathetic	JJ	negative	1.0
apathetic	NN	negative	1.0
apathetically	RB	negative	1.0
apathy	NN	negative	1.0
ape	VB	negative	1.0
apocalypse	NN	negative	1.0
apocalyptic	JJ	negative	1.0
apologist	JJ	negative	1.0
apologist	NN	negative	1.0
apologists	JJ	negative	1.0
apologists	NN	negative	1.0
apostle	JJ	positive	1.0
apostle	NN	positive	1.0
apotheosis	JJ	positive	1.0
apotheosis	NN	positive	1.0
appal	VB	negative	1.0
appall	JJ	negative	1.0
appall		negative	1.0
appall	VB	negative	1.0
appalled	JJ	negative	1.0
appalling	JJ	negative	1.0
appallingly		negative	1.0
apparent		neutral	0.5
apparently		neutral	0.5
appeal	JJ	positive	0.5
appeal	NN	positive	0.5
appeal	VB	positive	0.5
appealing	JJ	positive	1.0
appear		neutral	0.5
appearance	JJ	neutral	0.5
appearance	NN	neutral	0.5
appease	VB	positive	0.5
applaud	VB	positive	1.0
appreciable	JJ	positive	0.5
appreciate	VB	positive	1.0
appreciation	JJ	positive	1.0
appreciation	NN	positive	1.0
appreciative		positive	1.0
appreciatively		positive	1.0
appreciativeness		positive	1.0
apprehend	VB	neutral	0.5
apprehension	NN	negative	1.0
apprehensions	JJ	negative	1.0
apprehensions	NN	negative	1.0
apprehensive	JJ	negative	1.0
apprehensive	NN	negative	1.0
apprehensively		negative	1.0
appropriate	JJ	positive	0.5
approval	NN	positive	0.5
approve	VB	positive	0.5
apt	JJ	positive	0.5
aptly	RB	positive	0.5
aptitude	NN	positive	0.5
arbitrary	JJ	negative	1.0
arcane	JJ	negative	1.0
archaic	JJ	negative	1.0
ardent	JJ	positive	1.0
ardently		positive	1.0
ardor	NN	positive	1.0
arduous	JJ	negative	1.0
arduously		negative	1.0
aristocratic	JJ	positive	0.5
argue	VB	negative	1.0
argument	JJ	negative	0.5
argument	NN	negative	0.5
argumentative		negative	1.0
arguments	JJ	negative	0.5
arguments	NN	negative	0.5
arousal		positive	1.0
arouse	VB	positive	1.0
arousing		positive	1.0
arresting	JJ	positive	1.0
arrogance	NN	negative	1.0
arrogant	JJ	negative	1.0
arrogant		negative	1.0
arrogantly		negative	1.0
arrogantly		negative	1.0
articulate	JJ	positive	1.0
artificial	JJ	negative	0.5
ascendant	JJ	positive	1.0
ascendant	NN	positive	1.0
ascertainable	JJ	positive	1.0
ascertainable	NN	positive	1.0
ashamed	JJ	negative	1.0
asinine	JJ	negative	1.0
asininely	RB	negative	1.0
asinininity	NN	negative	1.0
askance	RB	negative	1.0
asperse	VB	negative	1.0
aspersion	NN	negative	1.0
aspersions	NN	negative	1.0
aspiration	NN	positive	1.0
aspirations	JJ	positive	1.0
aspirations	NN	positive	1.0
aspire	VB	positive	1.0
assail	VB	negative	0.5
assassinate	VB	negative	0.5
assassin	NN	negative	1.0
assault	JJ	negative	0.5
assault	NN	negative	0.5
assent	VB	positive	1.0
assertions	JJ	positive	1.0
assertions	NN	positive	1.0
assertive	JJ	positive	0.5
assess	VB	neutral	1.0
assessment	JJ	neutral	0.5
assessment	NN	neutral	0.5
assessments	JJ	neutral	0.5
assessments	NN	neutral	0.5
asset	NN	positive	0.5
assiduous	JJ	positive	1.0
assiduously	RB	positive	1.0
assuage	VB	positive	0.5
assumption	JJ	neutral	0.5
assumption	NN	neutral	0.5
assurance	JJ	positive	0.5
assurance	NN	positive	0.5
assurances	JJ	positive	0.5
assurances	NN	positive	0.5
assure	VB	positive	1.0
assuredly		positive	1.0
astonish	VB	positive	1.0
astonished	JJ	positive	1.0
astonishing	JJ	positive	1.0
astonishing		positive	1.0
astonishingly		positive	1.0
astonishment	NN	positive	1.0
astound	VB	positive	1.0
astounded	JJ	positive	1.0
astounding	JJ	positive	1.0
astounding		positive	1.0
astounding		positive	1.0
astoundingly		positive	1.0
astray	JJ	negative	0.5
astronomic	JJ	neutral	1.0
astronomical	JJ	neutral	1.0
astronomically		neutral	1.0
astute	JJ	positive	1.0
astutely	RB	positive	1.0
asunder		negative	1.0
asylum	JJ	positive	0.5
asylum	NN	positive	0.5
atrocious	JJ	negative	1.0
atrocities	NN	negative	1.0
atrocity	NN	negative	1.0
atrophy	VB	negative	1.0
attack	NN	negative	0.5
attack	VB	negative	0.5
attain	VB	positive	0.5
attainable	JJ	positive	0.5
attentive	JJ	positive	1.0
attest	VB	positive	1.0
attitude	JJ	neutral	1.0
attitude	NN	neutral	1.0
attitudes	JJ	neutral	0.5
attitudes	NN	neutral	0.5
attraction	JJ	positive	1.0
attraction	NN	positive	1.0
attractive	JJ	positive	1.0
attractive	NN	positive	1.0
attractively		positive	1.0
attune	JJ	positive	0.5
audacious	JJ	negative	1.0
audaciously		negative	1.0
audaciousness	NN	negative	1.0
audacity	NN	negative	1.0
auspicious	JJ	positive	1.0
austere	JJ	negative	1.0
authentic	JJ	positive	0.5
authoritarian	JJ	negative	0.5
authoritative	JJ	positive	0.5
autocrat	NN	negative	1.0
autocratic	JJ	negative	1.0
award	JJ	positive	0.5
award	VB	positive	0.5
awareness	NN	neutral	1.0
aware	JJ	neutral	1.0
autocratic	JJ	negative	1.0
autocratic	NN	negative	1.0
autonomous	JJ	positive	0.5
avalanche	JJ	negative	1.0
avalanche	NN	negative	1.0
avarice	NN	negative	1.0
avaricious	JJ	negative	1.0
avariciously	JJ	negative	1.0
avenge	VB	negative	1.0
aver	VB	positive	1.0
averse		negative	1.0
aversion	NN	negative	1.0
avid	JJ	positive	1.0
avidly		positive	1.0
avoid	VB	negative	0.5
avoidance	NN	negative	0.5
awe	NN	positive	1.0
awe	VB	positive	1.0
awed	JJ	positive	1.0
awesome	JJ	positive	1.0
awesome		positive	1.0
awesomely		positive	1.0
awesomeness	NN	positive	1.0
awestruck	JJ	positive	1.0
awful	JJ	negative	1.0
awful		negative	1.0
awfully		negative	1.0
awfulness		negative	1.0
awfulness	NN	negative	1.0
awkward	JJ	negative	1.0
awkwardness	NN	negative	1.0
ax	VB	negative	1.0
babble	VB	negative	1.0
baby	JJ	neutral	1.0
baby	NN	neutral	1.0
back	VB	positive	0.5
backbite	VB	negative	1.0
backbiting		negative	1.0
backbone	NN	positive	0.5
backward	JJ	negative	1.0
backwardness	NN	negative	1.0
bad	JJ	negative	1.0
badly	JJ	negative	1.0
baffle	VB	negative	1.0
baffled	JJ	negative	1.0
bafflement	NN	negative	1.0
baffling		negative	1.0
bait	VB	negative	1.0
balanced	JJ	positive	0.5
balk	VB	negative	1.0
banal	JJ	negative	1.0
banal		negative	1.0
banalize	VB	negative	1.0
bane	NN	negative	1.0
banish	JJ	negative	1.0
banish	VB	negative	1.0
banishment	NN	negative	1.0
bankrupt	JJ	negative	0.5
bankrupt	VB	negative	0.5
bar	VB	negative	0.5
barbarian	JJ	negative	1.0
barbarian	NN	negative	1.0
barbaric	JJ	negative	1.0
barbarically		negative	1.0
barbarity	JJ	negative	1.0
barbarity	NN	negative	1.0
barbarous	JJ	negative	1.0
barbarous		negative	1.0
barbarously		negative	1.0
barely		negative	0.5
bargain	NN	positive	1.0
bargain	JJ	positive	1.0
barren	JJ	negative	1.0
baseless	JJ	negative	1.0
bashful	JJ	negative	1.0
basic	JJ	positive	0.5
basically		neutral	0.5
bask	VB	positive	0.5
bastard		negative	1.0
bastard	NN	negative	1.0
batons	JJ	neutral	0.5
batons	NN	neutral	0.5
battered	JJ	negative	0.5
battering	JJ	negative	0.5
battering	NN	negative	0.5
battle	VB	negative	0.5
battle-lines	JJ	negative	1.0
battle-lines	NN	negative	1.0
battlefield	NN	negative	0.5
battleground	JJ	negative	1.0
battleground	NN	negative	1.0
batty	JJ	negative	1.0
beacon	NN	positive	0.5
bearish	JJ	negative	0.5
beast	JJ	negative	1.0
beast	NN	negative	1.0
beastly	JJ	negative	1.0
beatify	VB	positive	1.0
beauteous	JJ	positive	1.0
beautiful	JJ	positive	1.0
beautiful		positive	1.0
beautifully		positive	1.0
beautify	VB	positive	1.0
beauty	NN	positive	1.0
bedlam	NN	negative	1.0
bedlamite	NN	negative	1.0
befit	VB	positive	1.0
befitting	JJ	positive	1.0
befoul	VB	negative	1.0
befriend	VB	positive	1.0
beg	VB	negative	1.0
beggar	NN	negative	0.5
beggarly	JJ	negative	1.0
begging	JJ	negative	1.0
begging	NN	negative	1.0
beguile	VB	negative	1.0
belated	JJ	negative	0.5
belabor	VB	negative	1.0
beleaguer	VB	negative	1.0
belie	VB	negative	1.0
belief	JJ	neutral	1.0
belief	NN	neutral	1.0
beliefs	JJ	neutral	0.5
beliefs	NN	neutral	0.5
believable	JJ	positive	1.0
believe	VB	neutral	1.0
belittle	VB	negative	1.0
belittled	JJ	negative	1.0
belittling		negative	1.0
bellicose	JJ	negative	1.0
bellicose	NN	negative	1.0
belligerence	NN	negative	1.0
belligerent	JJ	negative	1.0
belligerent		negative	1.0
belligerently		negative	1.0
beloved	JJ	positive	1.0
bemoan	VB	negative	1.0
bemoaning	JJ	negative	1.0
bemused	JJ	negative	1.0
benefactor	NN	positive	0.5
beneficial	JJ	positive	0.5
beneficent	JJ	positive	1.0
beneficial		positive	1.0
beneficially		positive	1.0
beneficiary	JJ	positive	1.0
beneficiary	NN	positive	1.0
benefit	JJ	positive	0.5
benefit	NN	positive	0.5
benefits	JJ	positive	0.5
benefits	NN	positive	0.5
benevolence	NN	positive	1.0
benevolent	JJ	positive	1.0
benign	JJ	positive	0.5
bent	JJ	negative	0.5
berate	VB	negative	1.0
bereave	VB	negative	1.0
bereavement	NN	negative	1.0
bereft		negative	1.0
berserk	JJ	negative	1.0
beseech	VB	negative	1.0
beset	JJ	negative	0.5
besides		neutral	1.0
besiege	VB	negative	0.5
besmirch	VB	negative	1.0
best		positive	1.0
best-known	JJ	positive	1.0
best-performing	JJ	positive	1.0
best-selling	JJ	positive	0.5
bestial	JJ	negative	1.0
betray	VB	negative	1.0
betrayal	NN	negative	1.0
betrayals	NN	negative	1.0
betrayer	NN	negative	1.0
better	JJ	positive	1.0
better		positive	0.5
better-known	JJ	positive	1.0
better-than-expected	JJ	positive	1.0
bewail	VB	negative	1.0
beware	VB	negative	0.5
bewilder	VB	negative	1.0
bewildered	JJ	negative	1.0
bewildering	JJ	negative	1.0
bewildering		negative	1.0
bewilderingly		negative	1.0
bewilderment	NN	negative	1.0
bewitch	VB	negative	1.0
bias	JJ	negative	1.0
bias	NN	negative	1.0
bias	VB	negative	1.0
biased	JJ	negative	1.0
biased	NN	negative	1.0
biases	JJ	negative	1.0
biases	NN	negative	1.0
bicker	VB	negative	1.0
bickering		negative	1.0
bid-rigging	JJ	negative	0.5
big	JJ	neutral	0.5
bitch	VB	negative	1.0
bitchy	JJ	negative	1.0
biting	JJ	negative	1.0
bitingly		negative	1.0
bitter	JJ	negative	1.0
bitterly		negative	1.0
bitterness	NN	negative	1.0
bizarre	JJ	negative	1.0
blab	VB	negative	1.0
blabber	VB	negative	1.0
black	JJ	negative	0.5
blackmail	VB	negative	0.5
blah		negative	1.0
blame	JJ	negative	1.0
blame	NN	negative	1.0
blame	VB	negative	1.0
blameless	JJ	positive	1.0
blameworthy	JJ	negative	1.0
bland	JJ	negative	1.0
blandish	VB	negative	1.0
blaspheme	VB	negative	1.0
blasphemous	JJ	negative	1.0
blasphemous		negative	1.0
blasphemy	NN	negative	1.0
blast		negative	0.5
blasted		negative	1.0
blatant	JJ	negative	1.0
blatantly	JJ	negative	1.0
blather	VB	negative	1.0
bleak	JJ	negative	1.0
bleakly		negative	1.0
bleakness	NN	negative	1.0
bleed	VB	negative	0.5
blemish	NN	negative	0.5
blemish	VB	negative	0.5
bless	VB	positive	1.0
blessing	JJ	positive	1.0
blessing	NN	positive	1.0
blind		negative	0.5
blinding	JJ	negative	1.0
blinding		negative	1.0
blindingly	JJ	negative	1.0
blindness	JJ	negative	0.5
blindside	VB	negative	1.0
bliss	NN	positive	1.0
blissful	JJ	positive	1.0
blissfully	RB	positive	1.0
blister	VB	negative	1.0
blistering	JJ	negative	1.0
blithe	JJ	positive	1.0
bloated	JJ	negative	1.0
block	NN	negative	0.5
block	VB	negative	0.5
blockhead	JJ	negative	1.0
blood	JJ	neutral	0.5
blood	NN	negative	0.5
bloodshed	NN	negative	1.0
bloodthirsty	JJ	negative	1.0
bloody	JJ	negative	0.5
bloom	VB	positive	0.5
blossom	VB	positive	0.5
blow	JJ	negative	0.5
blow	NN	negative	0.5
blunder	JJ	negative	1.0
blunder	NN	negative	1.0
blundering		negative	1.0
blunders		negative	1.0
blunt	JJ	negative	1.0
blur	VB	negative	0.5
blurt	VB	negative	1.0
boast	VB	positive	1.0
boast	VB	negative	1.0
boastful	JJ	negative	1.0
boggle	VB	negative	1.0
bogus	JJ	negative	1.0
boil	VB	negative	1.0
boiling	RB	negative	1.0
boisterous	JJ	negative	1.0
bold	JJ	positive	1.0
boldly	RB	positive	1.0
boldness	NN	positive	1.0
bolster	VB	positive	1.0
bombard	VB	negative	0.5
bomb	VB	negative	0.5
bombardment	JJ	negative	1.0
bombardment	NN	negative	1.0
bombastic	JJ	negative	1.0
bondage	NN	negative	1.0
bonkers	JJ	negative	1.0
bonkers	NN	negative	1.0
bonny	JJ	positive	1.0
bonus	NN	positive	0.5
boom	NN	positive	0.5
booming	JJ	positive	0.5
boost	JJ	positive	0.5
boost	VB	positive	0.5
bore	VB	negative	1.0
boredom	NN	negative	1.0
boring	JJ	negative	1.0
boring		negative	1.0
botch	VB	negative	1.0
bother	NN	negative	1.0
bother	VB	negative	1.0
bothersome	JJ	negative	1.0
boundless	JJ	positive	1.0
bountiful	JJ	positive	1.0
bowdlerize	VB	negative	1.0
boycott	JJ	negative	0.5
boycott	NN	negative	0.5
brag	NN	both	1.0
brag	VB	both	1.0
braggart		negative	1.0
braggart	NN	negative	1.0
bragger		negative	1.0
bragger	NN	negative	1.0
brains	JJ	positive	1.0
brains	NN	positive	1.0
brainwash	VB	negative	1.0
brainy	JJ	positive	1.0
brash	JJ	negative	1.0
brashly		negative	1.0
brashness	NN	negative	1.0
brat	NN	negative	1.0
bravado	NN	negative	1.0
brave	JJ	positive	1.0
brave	VB	positive	1.0
bravery	JJ	positive	1.0
bravery	NN	positive	1.0
brazen		negative	1.0
brazenly		negative	1.0
brazenly		negative	1.0
brazenness	NN	negative	1.0
brazenness	NN	negative	1.0
breach	JJ	negative	0.5
breach	NN	negative	0.5
break	VB	negative	0.5
break-point	JJ	negative	1.0
break-point	NN	negative	1.0
breakdown	VB	negative	0.5
breakthrough	JJ	positive	0.5
breakthrough	NN	positive	0.5
breakthroughs	JJ	positive	0.5
breakthroughs	NN	positive	0.5
breathlessness	JJ	positive	1.0
breathlessness	NN	positive	1.0
breathtaking	JJ	positive	1.0
breathtakingly		positive	1.0
bright	JJ	positive	0.5
brighten		positive	0.5
brightness	NN	positive	0.5
brilliance	NN	positive	0.5
brilliant	JJ	positive	1.0
brilliant		positive	1.0
brilliantly		positive	1.0
brimstone	JJ	negative	1.0
brimstone	NN	negative	1.0
brisk	JJ	positive	0.5
bristle	VB	negative	1.0
brittle	JJ	negative	0.5
broad	JJ	positive	0.5
broad-based	JJ	neutral	0.5
broke	JJ	negative	0.5
broken-hearted	JJ	negative	1.0
brood	VB	negative	1.0
brook	VB	positive	1.0
brotherly	JJ	positive	0.5
browbeat	VB	negative	1.0
bruise	NN	negative	0.5
brusque	JJ	negative	1.0
brutal	JJ	negative	1.0
brutalising	JJ	negative	1.0
brutalising	NN	negative	1.0
brutalities		negative	1.0
brutalities	NN	negative	1.0
brutality	NN	negative	1.0
brutalize	VB	negative	1.0
brutalizing	JJ	negative	1.0
brutally		negative	1.0
brute	NN	negative	1.0
brutish	JJ	negative	1.0
bug	VB	negative	0.5
buckle	VB	negative	0.5
bulky	JJ	negative	0.5
bull	JJ	positive	0.5
bull	NN	positive	0.5
bullies	JJ	negative	1.0
bullies	NN	negative	1.0
bullish	JJ	positive	0.5
bullish	NN	positive	0.5
bully	JJ	negative	1.0
bully	NN	negative	1.0
bullyingly		negative	1.0
bum	NN	negative	0.5
bumpy	JJ	negative	0.5
bungle	VB	negative	1.0
bungler		negative	1.0
bunk	NN	negative	0.5
buoyant	JJ	positive	0.5
burden	JJ	negative	1.0
burden	NN	negative	1.0
burdensome	JJ	negative	1.0
burdensome		negative	1.0
burdensomely		negative	1.0
burn	VB	negative	1.0
busy	JJ	negative	0.5
busybody	NN	negative	1.0
butcher	VB	negative	0.5
butchery	NN	negative	1.0
byzantine	JJ	negative	1.0
cackle	VB	negative	1.0
cajole	VB	negative	1.0
calamities	NN	negative	1.0
calamitous	JJ	negative	1.0
calamitously		negative	1.0
calamity		negative	1.0
calamity	NN	negative	1.0
