PhraseID	Text
13_cell_neg_23	 that  my  only  option  was  to  send  the  phone  -LRB-  my  primary  source  of  communication  -RRB- 
13_cell_neg_24	 to  their  service  center 
13_cell_neg_25	 and  wait  3  weeks  . 
13_cell_neg_26	 To  my  surprise  , 
13_cell_neg_27	 they  went  on  to  say 
13_cell_neg_28	 that  ,  at  their  discretion  , 
13_cell_neg_29	 they  might  also  charge  me  for  the  repair  . 
13_cell_neg_30	 I  `  ve  read  comments  on  these  reviews  were  people 
13_cell_neg_31	 complained  about  service 
13_cell_neg_32	 and  I  always  just  assumed 
13_cell_neg_33	 they  were  exaggerating 
13_cell_neg_34	 but  now  that  I  `  ve  encountered  this  , 
13_cell_neg_35	 I  do  feel 
13_cell_neg_36	 it  's  worth 
13_cell_neg_37	 considering  . 
13_cell_neg_38	 If  you  `  re  thinking  about  a  Blackjack  , 
13_cell_neg_39	 I  encourage  you  to  be  aware 
13_cell_neg_40	 that  ,  for  one  ,  the  ink  may  inexplicably  wear  off  the  keys  , 
13_cell_neg_41	 and  , 
13_cell_neg_42	 that  you  may  well  be  on  your  own 
13_cell_neg_43	 when  it  comes  to  service  . 
13_cell_neg_44	 I  feel  that  it  's  reasonable  to  expect  a  device  as  expensive 
13_cell_neg_45	 as  this  to  remain  functional  for  at  least  3  months  and  if  not  ,  the  company  who  sold  it  should  assume  responsibility  for  making  it  right  . 
19_cell_pos_1	 So  I  bought  this  thing 
19_cell_pos_2	 based  on  the  Amazon  reviews 
19_cell_pos_3	 and  saved  a  bundle  over  the  local  retail  cost 
19_cell_pos_4	 -LRB-  yeah  Amazon  !  -RRB-  , 
19_cell_pos_5	 but  that  's  not 
19_cell_pos_6	 why  I  'm  writing  this  review  . 
19_cell_pos_7	 I  'd  like  to  talk  about  the  performance  and  comfort  of  the  Earboom  . 
19_cell_pos_8	 The  eargel  thingies  are  designed  quite  well  ,  of  the  three  different  sizes  for  each  ear 
19_cell_pos_9	 you  `  re  bound  to  find  one 
19_cell_pos_10	 that  fits  very  comfortably  . 
19_cell_pos_11	 Turns  out  I  could  n't  find  any 
19_cell_pos_12	 that  fit  my  right  ear  comfortably  for  extended  periods  of  use 
19_cell_pos_13	 but  found  a  perfect  fit  in  my  mate  on  the  other  side  . 
19_cell_pos_14	 My  wife  had  the  exact  opposite  experience  -  hopefully  our  daughter  will  inherit  more  symmetrical  ears  ! 
19_cell_pos_15	 I  hate  jogging  so  ca  n't  comment  on  the  fit  during  that  activity 
19_cell_pos_16	 but  can  say  the  gels  fit 
19_cell_pos_17	 suprising  well  in  the  folds  of  your  ear 
19_cell_pos_18	 and  the  boom  is  quite  secure 
19_cell_pos_19	 when  installed  . 
19_cell_pos_20	 I  'd  have  to  imagine 
19_cell_pos_21	 it  'd  take  a  big  hit 
19_cell_pos_22	 to  knock  it  loose  once  in  place  . 
19_cell_pos_23	 Sound  quality  from  the  earbud  is  decent  , 
19_cell_pos_24	 but  I  feel 
19_cell_pos_25	 the  Earboom  lacks  some  fidelity  ,  especially  the  higher  frequencies  . 
19_cell_pos_26	 Normally  this  is  not  a  problem  , 
19_cell_pos_27	 but  it  can  sometimes  make  the  person 
19_cell_pos_28	 you  `  re  talking  to  sound  like  Isaac  Hayes  . 
19_cell_pos_29	 The  speaker  is  plently  loud  and  the  lack  of  high  frequencies  allows  you  to  tune  into  the  tonal  range 
19_cell_pos_30	 where  us  humans  tend  to  converse  , 
19_cell_pos_31	 without  having  the  voices 
19_cell_pos_32	 washed  over  with  background  noise  . 
19_cell_pos_33	 The  gels  block  an  appropriate  amount  of  external  sounds 
19_cell_pos_34	 allowing  you  to  concentrate  on  the  discussion  at  hand  without  impeding  your  ability 
19_cell_pos_35	 to  hear  say 
19_cell_pos_36	 an  ambulance  while  driving  . 
19_cell_pos_37	 There  is  a  small  slot  on  the  gels 
19_cell_pos_38	 that  funnels  some  external  noise  to  your  drum  , 
19_cell_pos_39	 while  the  rest  of  the  gel  fits  snug  to  the  ear 
19_cell_pos_40	 blocking  out  other  stray  noise  paths  . 
19_cell_pos_41	 I  `  ve  asked  people 
19_cell_pos_42	 how  I  sound 
19_cell_pos_43	 and  thus  far  the  feedback  has  been  positive  , 
19_cell_pos_44	 my  voice  comes  through  loud  and  clear  despite  the  boom  's  apparent  lack  of  length  , 
19_cell_pos_45	 reinforcing  my  belief 
19_cell_pos_46	 that  size  DOES  N'T  matter  . 
19_cell_pos_47	 In  fact  , 
19_cell_pos_48	 I  have  found  the  mic  to  be  very  sensitive  to  even  small  sounds  . 
19_cell_pos_49	 Forget  talking  on  the  phone 
19_cell_pos_50	 and  subtly  typing  on  the  keyboard  our  mouse  click  surfing  - 
19_cell_pos_51	 they  `  ll  hear  every  click  . 
19_cell_pos_52	 Another  example  , 
19_cell_pos_53	 I  was  in  my  house 
19_cell_pos_54	 and  the  person  on  the  other  end  could  hear  the  kids 
19_cell_pos_55	 playing  in  the  pool  40  feet  away 
19_cell_pos_56	 with  the  house  windows  closed  !  ! 
19_cell_pos_57	 Yes  ,  the  mic  is  that  sensitive  . 
19_cell_pos_58	 Even  while  driving  they  could  hear 
19_cell_pos_59	 when  I  shifted  gears  . 
19_cell_pos_60	 Not  that  it  's  obtrusive  to  the  other  person  on  the  phone  , 
19_cell_pos_61	 it  's  just  good  to  be  aware 
19_cell_pos_62	 they  can  hear  it  all  . 
19_cell_pos_63	 What  more  to  say  about  such  a  simple  device  . 
19_cell_pos_64	 Form  Fit  and  Function  are  all  there  and  I  would  recommend  this  product  . 
19_cell_pos_65	 In  fact  , 
19_cell_pos_66	 I  just  ordered  another  - 
19_cell_pos_67	 it  makes  a  great  gift 
6_cell_pos_1	 Two  week  review 
6_cell_pos_2	 I  got  this  phone  to  use  as  a  phone 
6_cell_pos_3	 and  am  very  happy  with  it  . 
6_cell_pos_4	 I  have  had  it  about  two  weeks  now  so  this  is  the  early  review  . 
6_cell_pos_5	 First  ,  the  qualifier  . 
6_cell_pos_6	 I  have  a  nice  canon  camera 
6_cell_pos_7	 and  do  n't  want  to  use  my  phone 
6_cell_pos_8	 to  take  pictures  . 
6_cell_pos_9	 I  do  n't  want  to  use  my  phone 
6_cell_pos_10	 to  listen  to  music  or  surf  the  internet  either  , 
6_cell_pos_11	 I  just  want  it  to  make  and  receive  calls  and  maybe  a  text  here  and  there  . 
6_cell_pos_12	 If  you  are  one  of  those  people 
6_cell_pos_13	 that  has  a  different  agenda  for  your  phone  , 
6_cell_pos_14	 then  this  is  probably  not  the  phone  for  you  . 
6_cell_pos_15	 The  Good 
6_cell_pos_16	 Size  is  great  . 
6_cell_pos_17	 This  phone  is  comparable  to  a  Hershey  bar  in  thickness  and  width  , 
6_cell_pos_18	 but  shorter  . 
6_cell_pos_19	 It  fits  in  my  pants  or  shirt  pocket  without  feeling  bulky  . 
6_cell_pos_20	 It  makes  a  razr  feel  thick  , 
6_cell_pos_21	 but  I  am  guessing 
6_cell_pos_22	 it  is  comparable  to  a  slvr  . 
6_cell_pos_23	 The  Slice  has  good  sound  quality  for  such  a  small  phone  . 
6_cell_pos_24	 It  also  has  good  reception  . 
6_cell_pos_25	 Sprints  network  is  not  the  best  in  my  area  , 
6_cell_pos_26	 but  my  slice  has  been  able  to  connect 
6_cell_pos_27	 wherever  I  am  and  maintains  a  strong  connection  even  with  1  bar  . 
6_cell_pos_28	 When  I  was  in  the  car  ,  the  road  noise  got  too  loud  to  hear  , 
6_cell_pos_29	but
6_cell_pos_30	 when  I  hit  the  speakerphone  button 
6_cell_pos_31	 I  could  hear  fine  , 
6_cell_pos_32	 and  keep  my  hands  on  the  wheel  . 
6_cell_pos_33	 Virgin  is  definitely  the  most  affordable  option  if  you  are  not  planning  to  use  the  phone  a  lot  . 
6_cell_pos_34	 I  expect  to  spend  between  $  150  and  $  200  this  first  year  , 
6_cell_pos_35	 including  the  $  50  up  front  for  the  phone  . 
6_cell_pos_36	 The  cheapest  monthly  plan  on  the  big  carriers  would  cost  me  at  least  500  over  a  the  same  period  with  local  taxes 
6_cell_pos_37	 and  fees  included  . 
6_cell_pos_38	 Although  I  have  n't  tried  them  , 
6_cell_pos_39	 it  looks  like  the  monthly  plans  with  Virgin  are  pretty  reasonable  too  if  I  start 
6_cell_pos_40	 getting  into  that  kind  of  usage  level  . 
6_cell_pos_41	 Many  of  the  other  Virgin  phones  look  like  toys  . 
6_cell_pos_42	 Although  this  ones  name  sounds  like  a  toy  and  people  under  18  recognize  it  , 
6_cell_pos_43	 it  also  looks  like  a  real  piece  of  equipment  . 
6_cell_pos_44	 As  an  older  professional  I  am  not  embarrassed  to  plop  this  phone  on  the  conference  table  in  a  meeting  with  the  VP  . 
6_cell_pos_45	 -LRB-  in  vibrate  mode  of  course  -RRB- 
6_cell_pos_46	 At  the  same  time  ,  my  12  year  old  is  hoping 
6_cell_pos_47	 I  hate  it 
6_cell_pos_48	 and  get  another  phone  so  he  can  have  this  one 
6_cell_pos_49	 because  it  is  so  cool  . 
6_cell_pos_50	 The  UI  is  well  designed  and  easy  to  navigate  except  for  the  ridiculous  menu  . 
6_cell_pos_51	 What  were  they  smoking 
6_cell_pos_52	" ""when  they  decided  to  use  a  pig  for  """"  my  account  ,  """"  a  dragon  for  """"  messaging  ,  """""" "
6_cell_pos_53	 etc  . 
6_cell_pos_54	 Other  than  that  ,  the  features  are  all 
6_cell_pos_55	 where  you  would  expect  them  to  be  and  navigating  the  menus  is  quite  intuitive  . 
6_cell_pos_56	 Ca  n't  really  comment  on  reliability  on  this  phone 
6_cell_pos_57	 after  just  two  weeks  , 
6_cell_pos_58	 but  it  has  already  been  dropped  twice 
6_cell_pos_59	 and  still  works  fine  . 
6_cell_pos_60	 The  Bad 
6_cell_pos_61	 Perhaps  because  they  are  affordable  in  other  ways  ,  Virgin  screws 
6_cell_pos_62	 you  on  ringtones  and  background  . 
6_cell_pos_63	 The  four  ringtones  included  are  unacceptable  , 
6_cell_pos_64	 and  you  are  blocked  from  up  or  down 
6_cell_pos_65	 loading  your  own  . 
6_cell_pos_66	 They  do  have  a  pretty  big  collection  on  their  website 
6_cell_pos_67	 you  can  get  for  $  2.50  a  pop  , 
6_cell_pos_68	 but  none  of  them  sound  like  a  phone  . 
6_cell_pos_69	 The  included 
6_cell_pos_70	 wallpapers  were  chosen  to  be  the  most  despicable  choices  possible  too  ,  so  you  are  likely  to  fork  out  $  2.00  for  a  wallpaper  from  their  web  site  for  that  as  well  . 
6_cell_pos_71	 The  buttons  are  a  little  too  small  . 
6_cell_pos_72	 Most  of  the  time  I  do  fine  , 
6_cell_pos_73	 but  every  once  in  a  while  I  hit  two  keys  or  the  wrong  key 
6_cell_pos_74	 because  they  are  so  small  . 
6_cell_pos_75	 Of  course 
6_cell_pos_76	 once  the  numbers  were  all 
6_cell_pos_77	 loaded  into  contacts 
6_cell_pos_78	 and  speed  dials  set 
6_cell_pos_79	 I  have  n't  run  into  that  problem  any  more  . 
6_cell_pos_80	 Battery  life  has  not  lived  up  to  what  I  read  , 
6_cell_pos_81	 but  that  might  be  because  of  how  I  use  it  . 
6_cell_pos_82	 If  I  charge  it  every  night 
6_cell_pos_83	 I  am  fine  . 
6_cell_pos_84	 I  ordered  an  extra  charger 
6_cell_pos_85	 to  keep  in  the  office  and  one  for  the  car  as  well  just  in  case  . 
6_cell_pos_86	Summary
6_cell_pos_87	 After  two  weeks  I  am  happy  with  this  phone 
6_cell_pos_88	 and  would  recommend  it  to  someone 
6_cell_pos_89	 looking  for  a  phone  to  use  for  making  phone  calls  . 
6_cell_pos_90	 It  is  not  big  on  extras  like  a  camera  , 
6_cell_pos_91	 but  what  it  does  it  does  well  . 
6_cell_pos_92	 Virgin  uses  Sprint  's  network  , 
6_cell_pos_93	 see  if  you  can  find  out  about  their  network  in  your  area 
6_cell_pos_94	 before  you  buy  a  Virgin  phone  . 
6_cell_pos_95	 .  .  . 
2_gourmet_neg_1	 Personally  ,  I  did  n't  like  Tazo  's  Red  Bush  Tea  very  much  . 
2_gourmet_neg_2	 I  `  ve  had  three  different  kinds  of  roiboos  teas  so  far  and  this  was  my  least  favorite  . 
2_gourmet_neg_3	 It  seems  like  the  flavor  of  roiboos 
2_gourmet_neg_4	 itself  is  pretty  mild  , 
2_gourmet_neg_5	 and  in  the  case  of  Tazo  's  tea  ,  the  flavors 
2_gourmet_neg_6	 they  add  completely  overwhelm  it  . 
2_gourmet_neg_7	 I  found  that  I  had  to  remove  the  tea  bag  very 
2_gourmet_neg_8	 quickly  lest  the  cup  become  overwhelmingly  lemony  and  acidic  . 
2_gourmet_neg_9	 Perhaps  other  pallettes  will  appreciate  the  strength  of  those  flavors  . 
2_gourmet_neg_10	 Personally  , 
2_gourmet_neg_11	 I  could  n't  wait  to  finish  off  the  box  so  that  I  could  find  a  better  flavor  . 
2_gourmet_neg_12	 The  other  roiboos  teas  I  have  tried  have  had  a  milder  mix  of  flavors  ,  to  a  much  better  overall  effect  . 
2_gourmet_neg_13	 My  personal  choice  right  now  is  Trader  Joe  's  Orange  Spice  Roiboos  , 
2_gourmet_neg_14	 which  apparently  can  be  bought  in  some  , 
2_gourmet_neg_15	 but  not  all  of  their  stores  . 
2_gourmet_neg_16	 The  orange  flavor  is  much  less  up 
2_gourmet_neg_17	 front  than  the  lemon  &  citrus  flavors  in  the  tazo  tea  ,  and  the  overall  effect  of  the  other  spices  is  very  nice  . 
2_gourmet_neg_18	 The  tea  smells  a  lot  like  other  spiced  foods 
2_gourmet_neg_19	 -LRB-  pumpkin  pie  comes  to  mind  -RRB- 
2_gourmet_neg_20	 and  is  very  nice  on  a  gloomy  afternoon  . 
2_gourmet_neg_21	 Also  unlike  the  Tazo  version  ,  the  flavor  of  this  tea  gets  nicer  and  richer  the  longer  you  let  the  tea  bag  steep  , 
2_gourmet_neg_22	 although  even  just  pouring  the  water  over  the  bag 
2_gourmet_neg_23	 and  leaving  it  for  a  few  seconds  is  usually  enough  for  a  nice  cup  . 
2_gourmet_neg_24	 Admittedly  , 
2_gourmet_neg_25	 there  are  a  lot  of  other  roiboos  teas  I  have  not  tried  , 
2_gourmet_neg_26	 but  this  one  has  been  a  hit  with  me 
2_gourmet_neg_27	 because  of  its  good  flavor  and  local  availability  . 
2_gourmet_neg_28	 Keep  in  mind  this  is  not  the  opinion  of  a  tea  expert  , 
2_gourmet_neg_29	 and  I  have  never  had  roiboos  tea  in  Africa  so  I  do  n't  know  what  it  is  supposed  to  taste  like  in  its  authentic  presentation  . 
2_gourmet_neg_30	 Just  my  personal  taste 
6_gourmet_neg_1	 Do  n't  get 
6_gourmet_neg_2	 me  wrong  -- 
6_gourmet_neg_3	 I  'm  not  some  nut  job 
6_gourmet_neg_4	 who  thinks  this  stuff  will  give  you  cancer  due  to  lack  of  testing  . 
6_gourmet_neg_5	 I  'm  just  really  miffed  at  the  fact 
6_gourmet_neg_6	 that  Splenda  has  plenty  of  carbohydrates  in  it  --  24  grams  per  cup  !  ! 
6_gourmet_neg_7	 They  get  away  with  this  by  setting  their  serving  size  to  1  tsp  , 
6_gourmet_neg_8	 which  is  0.5  g  . 
6_gourmet_neg_9	 Would  you  believe  that  in  0.5  g  of  product 
6_gourmet_neg_10	 there  is  less  than  one  gram  of  carbohydrate  !  ? 
6_gourmet_neg_11	 No  way  !  ! 
6_gourmet_neg_12	 The  sweetener  sucralose  is  not  a  carbohydrate  , 
6_gourmet_neg_13	 but  since  it  's  600x  as  sweet  as  sugar  , 
6_gourmet_neg_14	 they  need 
6_gourmet_neg_15	 to  bulk  it  up  to  make 
6_gourmet_neg_16	 it  measure  like  sugar  . 
6_gourmet_neg_17	 But  all  the  maltodextrin  they  use  for  filler  is  carbohydrates  . 
6_gourmet_neg_18	 This  could  really  screw  up  somebody  on  Atkins  '  Induction  phase  . 
6_gourmet_neg_19	 For  example  , 
6_gourmet_neg_20	 the  day  before  I  learned  this  , 
6_gourmet_neg_21	 I  made  some  Kool-Aid  with  Splenda  . 
6_gourmet_neg_22	 I  did  n't  know 
6_gourmet_neg_23	 that  in  2  quarts 
6_gourmet_neg_24	 I  was  drinking  down  24  carbs  ! 
6_gourmet_neg_25	 What  to  do  ? 
6_gourmet_neg_26	 Find  somebody  online 
6_gourmet_neg_27	 who  sells  liquid  sucralose  . 
6_gourmet_neg_28	 They  use  water  as  the  filler  , 
6_gourmet_neg_29	 it  's  super-concentrated  still  , 
6_gourmet_neg_30	 and  it  truly  has  0  carbs  . 
6_gourmet_neg_31	 I  look  forward  to  the  day 
6_gourmet_neg_32	 when  McNeil  Nutritionals  meets  the  demand  for  ZERO-carb  Splenda  . 
6_gourmet_neg_33	 -LRB-  That  's  0.0  g  ,  not  0.49  g  ! 
10_gourmet_pos_1	 I  bought  a  few  bags  of  these  noodles 
10_gourmet_pos_2	 after  reading  a  very  favorable  review  of  them  on  the  Hungry  Girl  website  , 
10_gourmet_pos_3	 and  I  am  glad 
10_gourmet_pos_4	 that  I  did  . 
10_gourmet_pos_5	 They  work  well  in  a  number  of  different  recipes  ,  are  filling  , 
10_gourmet_pos_6	" ""and  add  a  """"  calcium  boost  """"  to  the  dishes"" "
10_gourmet_pos_7	 I  use  them  in  ,  for  very  few  calories  . 
10_gourmet_pos_8	" ""These  are  not  """"  pasta  """"  type  noodles  ,  of  course  -"" "
10_gourmet_pos_9	 the  texture  is  different 
10_gourmet_pos_10	" ""-LRB-  softer  and  kind  of  """"  slippery  """"  -RRB-  ,"" "
10_gourmet_pos_11	 and  they  have  virtually  no  flavor  of  their  own  - 
10_gourmet_pos_12	 they  take  on  the  flavor 
10_gourmet_pos_13	 of  whatever  sauce  or  dressing  you 
10_gourmet_pos_14	 use  with  them  . 
10_gourmet_pos_15	 I  probably  wo  n't  use  these  noodles  with  European-style  or  American-style  sauces  such  as  marinara  or  cheese  sauce  -  those  types  of  sauces  were  created  for  grain-based  pastas  , 
10_gourmet_pos_16	 which  these  are  not  . 
10_gourmet_pos_17	 On  the  other  hand  ,  these  noodles  are  fine  in  such  Asian  recipes  as  Pad  Thai  ,  Lo  Mein  and  Dan-Dan  Noodes 
10_gourmet_pos_18	 -LRB-  basically  ,  noodles  in  a  spicy  peanut  or  sesame  sauce  -RRB-  . 
10_gourmet_pos_19	 There  are  a  lot  of  Asian-style  recipes  in  cookbooks  and  on  the  Internet 
10_gourmet_pos_20	 which  are  fairly  easy  to  make  ,  taste  terrific  , 
10_gourmet_pos_21	 and  work  beautifully  with  these  noodles  . 
10_gourmet_pos_22	 You  can  prepare  yourself  a  real  treat  , 
10_gourmet_pos_23	 if  you  use  these  noodles  in  the  types  of  recipes 
10_gourmet_pos_24	 that  work  well  with  their  texture  , 
10_gourmet_pos_25	 and  for  a  fraction  of  the  calories 
10_gourmet_pos_26	 you  'd  eat  if  using  regular  noodles  or  rice  . 
10_gourmet_pos_27	 In  short  , 
10_gourmet_pos_28	 if  you  attempt  something  like  spaghetti  with  meatballs  or  chicken  cacciatore 
10_gourmet_pos_29	 using  these  noodles  , 
10_gourmet_pos_30	 you  `  re  likely  to  be  disappointed  , 
10_gourmet_pos_31	 but  if  you  use  them  in  Pad  Thai  ,  any  type  of  curry  ,  other  Asian  dishes  ,  or  most  soups  , 
10_gourmet_pos_32	 you  `  re  likely  to  find  yourself  enjoying  a  delicious  and  wonderfully  low-cal  ,  low-carb  meal  . 
10_gourmet_pos_33	 One  thing 
10_gourmet_pos_34	-
10_gourmet_pos_35	 when  you  open  the  bag  , 
10_gourmet_pos_36	 there  is  a  slight  ammonia-like  odor 
10_gourmet_pos_37	 -LRB-  it  smells  ammonia-like  to  me  ,  anyway  -RRB-  . 
10_gourmet_pos_38	 If  you  rinse  the  noodles  well 
10_gourmet_pos_39	 and  then  parboil  them  for  a  few  minutes  ,  as  per  the  package  directions  , 
10_gourmet_pos_40	 the  odor  really  does  disappear  . 
10_gourmet_pos_41	 It  is  not  a  strong  odor  , 
10_gourmet_pos_42	 it  wo  n't  permeate  your  kitchen  or  anything  like  that  , 
10_gourmet_pos_43	 but  you  will  definitely  want  to  rinse  and  parboil  the  noodles  before  using  them  . 
10_gourmet_pos_44	 Just  follow  the  package  directions 
9_gourmet_pos_1	 My  kid  was  upset 
9_gourmet_pos_2	 when  I  got  him  an  improvised  Harry  Potter  broom  for  Christmas  --  O.  K  .  , 
9_gourmet_pos_3	 it  was  n't  an  officially  licensed  product  , 
9_gourmet_pos_4	 but  since  magic  brooms  are  imaginary  anyway  ,  any  stick  with  a  bunch  of  straw  at  one  end  is  as  good  as  any  other  . 
9_gourmet_pos_5	 But  no  --  apparently  a  Corn  Lobby  Broom  was  n't  good  enough  for  him  . 
9_gourmet_pos_6	 Anyway  ,  he  would  n't  talk  to  me  for  a  month  , 
9_gourmet_pos_7	 which  was  good  at  first  , 
9_gourmet_pos_8	 but  then  got  really  annoying  . 
9_gourmet_pos_9	 For  my  kid  's  birthday 
9_gourmet_pos_10	 I  decided  to  get 
9_gourmet_pos_11	 him  something  really  special  , 
9_gourmet_pos_12	 so  I  got  him  this  bag  of  xanthan  gum  . 
9_gourmet_pos_13	 I  even  wrapped  it  up  real  nice  with  wrapping  paper  and  ribbon  . 
9_gourmet_pos_14	 My  kid  opened  his  present 
9_gourmet_pos_15	 and  could  n't  figure  out  what  it  was  . 
9_gourmet_pos_16	" ""It  's  xanthan  gum  ,  """""" "
9_gourmet_pos_17	 I  told  him  , 
9_gourmet_pos_18	 It  's  gum  from  outer  space  . 
9_gourmet_pos_19	" ""From  the  planet  Xanthan  .  """""" "
9_gourmet_pos_20	 My  kid  was  busy 
9_gourmet_pos_21	 staring  at  the  label  . 
9_gourmet_pos_22	" ""No  it  's  not  ,  """""" "
9_gourmet_pos_23	 he  slowly  replied  , 
9_gourmet_pos_24	" ""and  then  he  began  to  read  ,  """""" "
9_gourmet_pos_25	 Xanthan  is  made  from  the  outer  layer  of  a  tiny  ,  inactive  bacterium 
9_gourmet_pos_26	" ""called  Xanthomonas  campestris  .  .  .  """""" "
9_gourmet_pos_27	" ""From  the  planet  Xanthan  !  """""" "
9_gourmet_pos_28	 I  interrupted  . 
9_gourmet_pos_29	 Since  when  did  my  kid  learn  to  read  ? 
9_gourmet_pos_30	 I  grabbed  the  bag 
9_gourmet_pos_31	 and  opened  it  . 
9_gourmet_pos_32	" ""Here  ,  """""" "
9_gourmet_pos_33	 I  stuck  a  spoon  into  the  white  powder  , 
9_gourmet_pos_34	 Try  some  . 
9_gourmet_pos_35	" ""It  's  really  good  .  """""" "
9_gourmet_pos_36	 My  kid  picked  up  the  spoon 
9_gourmet_pos_37	 and  smelled  the  white  powder  . 
9_gourmet_pos_38	" ""Go  on  ,  """""" "
9_gourmet_pos_39	 I  said  , 
9_gourmet_pos_40	" ""you  `  ll  really  like  it  !  """""" "
9_gourmet_pos_41	 He  hesitated  , 
9_gourmet_pos_42	 and  then  stuck  his  tongue  into  the  powder  . 
9_gourmet_pos_43	 I  was  starting  to  get  impatient  , 
9_gourmet_pos_44	 so  I  grabbed  the  spoon  from  him  , 
9_gourmet_pos_45	 Give  it  to  me  , 
9_gourmet_pos_46	" ""you  big  chicken  ,  """""" "
9_gourmet_pos_47	 and  then  I  swallowed  the  powder  . 
9_gourmet_pos_48	 The  stuff 
9_gourmet_pos_49	 dissolved  into  a  thick  ,  slimy  paste  in  my  mouth  , 
9_gourmet_pos_50	 but  I  smiled 
9_gourmet_pos_51	" ""as  I  chewed  it  ,  """"  Mmmmm  .  .  ."" "
