PhraseIDs	Text
15_cell_pos_67	that  are  clear  : 
15_cell_pos_68	the  battery 
15_cell_pos_69	-LRB-  important  -RRB- 
15_cell_pos_70	and  date\/time  . 
15_cell_pos_71	4  .  The  flimsy  port  cover  at  bottom  of  the  phone 
15_cell_pos_72	-LRB- 
15_cell_pos_73	where  you  connect  the  charger  ,  etc  -RRB-  make 
15_cell_pos_74	me  think 
15_cell_pos_75	that  someday  I  'm  going  to  look  down 
15_cell_pos_76	there 
15_cell_pos_77	and  find  it  missing  . 
15_cell_pos_78	It  's  easy  enough 
15_cell_pos_79	to  pop  off  , 
15_cell_pos_80	"but  sometimes  takes  ""  persuading  "" "
15_cell_pos_81	to  put  back 
15_cell_pos_82	and  have  it  cover  the  slot  completely 
15_cell_pos_83	-LRB- 
15_cell_pos_84	because  it  needs  to  be  a  snug  fit 
15_cell_pos_85	to  meet  the  military  spec  -RRB-  . 
15_cell_pos_86	OVERALL  , 
15_cell_pos_87	I  really  like  the  phone 
15_cell_pos_88	and  highly  recommend  it  to  all 
8_kitchen_pos_1	I  have  the  black  Fusion  in  my  home  office 
8_kitchen_pos_2	-LRB- 
8_kitchen_pos_3	which  is  next  to  a  basement-level  theater  room  -RRB-  , 
8_kitchen_pos_4	and  my  wife 
8_kitchen_pos_5	and  I  already  love  this  machine  . 
8_kitchen_pos_6	We  have  tried  all  sorts  of  mixes  ,  and  we  `  ve  only  scratched  the  surface  of  what  this  machine  can  do  . 
8_kitchen_pos_7	This  is  one  of  the  first  times 
8_kitchen_pos_8	I  `  ve  been  so  impressed  with  a  product  that  I  wanted  to  write  a  review  for  it  . 
8_kitchen_pos_9	Physical  properties  : 
8_kitchen_pos_10	It  handles  travel  mugs 
8_kitchen_pos_11	-LRB-  if  you  remove  the  drip  tray  , 
8_kitchen_pos_12	which  is  largely  unneeded  anyway  -RRB-  , 
8_kitchen_pos_13	"and  all  our  ""  standard  ""  mugs  . "
8_kitchen_pos_14	The  drink  head  moves  up  and  down  ,  so  it  can  sit  flush  against  the  rim  of  your  mug 
8_kitchen_pos_15	to  cut  down  on  the  already  rare  splashbacks 
8_kitchen_pos_16	"-LRB-  more  common  with  ""  frothy  "" "
8_kitchen_pos_17	drinks  than  coffee  and  tea  -RRB-  . 
8_kitchen_pos_18	When  it  brews  a  filterpack  , 
8_kitchen_pos_19	it  blows  air  through  at  the  end  of  the  cycle 
8_kitchen_pos_20	to  clear  it  out 
8_kitchen_pos_21	-LRB-  and  ,  thus  ,  keep  it  from  dripping 
8_kitchen_pos_22	as  you  remove  it  -RRB-  . 
8_kitchen_pos_23	The  water  tank  could  be  larger 
8_kitchen_pos_24	-LRB-  if  only  because  we  `  re  so  enamored  with  it  that  we  keep 
8_kitchen_pos_25	making  drinks  all  day  long  -RRB-  , 
8_kitchen_pos_26	but  if  you  have  a  ready  source  of  water  nearby  , 
8_kitchen_pos_27	it  should  n't  be  a  problem  . 
8_kitchen_pos_28	The  tank  fits  better 
8_kitchen_pos_29	and  slides  on  easier  than  the  Senseo 
8_kitchen_pos_30	-LRB- 
8_kitchen_pos_31	which  we  also  have  -RRB-  . 
8_kitchen_pos_32	Flavor-wise  : 
8_kitchen_pos_33	It  's  made  by  M&M  \/  Mars  ,  so 
8_kitchen_pos_34	you  can  bet  that  the  sweeter  drinks 
8_kitchen_pos_35	-LRB-  the  so-called  Indulgence  fare  -RRB-  is  excellent  . 
8_kitchen_pos_36	"Coffee  blends  are  quite  good  ,  especially  the  darker  roasts  like  ""  French  Roast  "" "
8_kitchen_pos_37	"and  ""  Sumatra  ""  . "
8_kitchen_pos_38	Lattes  made  with  Espresso  Roast  taste  similar  to  Starbucks  ,  moreso  than  other  chains  . 
8_kitchen_pos_39	Clean-up  : 
8_kitchen_pos_40	Wipe  the  inside  of  the  drink  head  ,  and  possibly  the  front  of  the  plastic  column 
8_kitchen_pos_41	-LRB-  the  colored  portion  -RRB- 
8_kitchen_pos_42	"after  any  particularly  ""  splashy  "" "
8_kitchen_pos_43	drinks  . 
8_kitchen_pos_44	No  need 
8_kitchen_pos_45	to  worry  about  cleaning  up  the  area  around  the  machine  ,  especially  if  you  keep  the  drink  head  on  the  rim  of  your  mug  . 
8_kitchen_pos_46	Of  course  , 
8_kitchen_pos_47	you  ca  n't  watch  its  magic 
8_kitchen_pos_48	when  the  drink  head  is  that  low  , 
8_kitchen_pos_49	so  your  first  few  times  , 
8_kitchen_pos_50	you  `  ll  probably  get  a  drip  here 
8_kitchen_pos_51	and  there  . 
8_kitchen_pos_52	Final  bits  : 
8_kitchen_pos_53	We  `  ve  had  the  Senseo  since  its  launch  . 
8_kitchen_pos_54	Between  pods 
8_kitchen_pos_55	"that  need  ""  pre-wetting  "" "
8_kitchen_pos_56	to  avoid 
8_kitchen_pos_57	blowing  past  the  seal  of  the  portafilter  to  the  not-so-great  varieties  of  drinks  , 
8_kitchen_pos_58	the  Senseo  is  lagging  behind  the  Flavia  . 
8_kitchen_pos_59	"We  drink  coffee  ,  tea  ,  espresso  drinks  ,  mixed  blends  ,  and  sweet-tooth-friendly  ""  indulgence  ""  mixes  every  day  with  the  Flavia  , "
8_kitchen_pos_60	and  it  's  brain-dead-easy  to  use  . 
8_kitchen_pos_61	Certainly  easier  to  clean  up  after  ,  too  ! 
8_kitchen_pos_62	If  you  `  re  on  the  fence  between  the  Flavia  and  other  single-cup  offerings 
8_kitchen_pos_63	-LRB-  like  Senseo  -RRB-  , 
8_kitchen_pos_64	get 
8_kitchen_pos_65	the  Flavia  . 
8_kitchen_pos_66	Keurig  and  other  single-cup  offerings  ca  n't  touch  the  variety  of  drinks 
8_kitchen_pos_67	you  can  make  with  the  Flavia  . 
8_kitchen_pos_68	I  'm  sipping  a  lemon\/blueberry  tea  blend  now  , 
8_kitchen_pos_69	made  over  ice  , 
8_kitchen_pos_70	and  it  's  fantastic  . 
8_kitchen_pos_71	Highly  recommended 
11_kitchen_neg_1	I  own  the  graphite  style  of  this  set  . 
11_kitchen_neg_2	I  was  originally  very  happy  with  the  purchase 
11_kitchen_neg_3	- 
11_kitchen_neg_4	the  set  looked  great  ,  did  n't  chip  easily  ,  and  was  a  great  size  . 
11_kitchen_neg_5	After  a  year  of  use 
11_kitchen_neg_6	I  `  ve  come  up  with  a  list  of  problems  : 
11_kitchen_neg_7	The  clear  glazed  surface  on  the  plates  and  bowls  can  be  scored  by  utensils 
11_kitchen_neg_8	which  allows  water\/dirt  to  penetrate  to  the  porous  ceramic  below  leaving  stains 
11_kitchen_neg_9	that  can  not  be  removed  . 
11_kitchen_neg_10	"The  semi-matte  finish  acquires  a  ""  powdery  ""  ,  almost  bleached  ,  look  to  it  after  many  washings "
11_kitchen_neg_11	-LRB-  says  dishwasher  safe  , 
11_kitchen_neg_12	guess 
11_kitchen_neg_13	that  means  the  colors  do  n't  wash  away  immediately  -RRB- 
11_kitchen_neg_14	My  biggest  complaint  : 
11_kitchen_neg_15	We  bought  these 
11_kitchen_neg_16	"because  they  were  ""  microwave  safe  ""  . "
11_kitchen_neg_17	I  do  n't  know  what  microwave  safe  means  to  most  people  , 
11_kitchen_neg_18	but  it  means  to  me  that  I  could  put  a  plate  ,  bowl  or  cup  in  the  microwave  ,  heat  up  the  contents  , 
11_kitchen_neg_19	and  then  safely  remove  the  object 
11_kitchen_neg_20	and  use  it  . 
11_kitchen_neg_21	In  the  case  of  the  set 
11_kitchen_neg_22	I  purchased  , 
11_kitchen_neg_23	it  only  seems  to  mean 
11_kitchen_neg_24	that  the  item 
11_kitchen_neg_25	placed  in  the  microwave  will  not  explode  . 
11_kitchen_neg_26	Unfortunately  in  the  case  of  the  Sango  Graphite  set  , 
11_kitchen_neg_27	it  means  that  the  contents  of  the  set  are  sheilded  by  the 
11_kitchen_neg_28	-LRB-  plate\/bowl\/cup  -RRB- 
11_kitchen_neg_29	and  that  the  contents  will  emerge  warm 
11_kitchen_neg_30	at  best  while  you  burn  your  hand 
11_kitchen_neg_31	attempting  to  extract  the 
11_kitchen_neg_32	-LRB-  plate\/bowl\/cup  -RRB- 
11_kitchen_neg_33	that  has  soaked  all  of  the  energy  up  from  the  microwave  . 
11_kitchen_neg_34	They  get  VERY  hot  ! 
11_kitchen_neg_35	-LRB-  Cup  of  water 
11_kitchen_neg_36	heated  for  2  mins  results  in  water  temperature  of  120F 
11_kitchen_neg_37	while  cup  surface  is  170F  !  -RRB- 
11_kitchen_neg_38	I  `  ve  only  broken  2  items  from  the  set  ,  both  times 
11_kitchen_neg_39	I  dropped  the  items  after  getting  them  partly  out  of  the  microwave 
11_kitchen_neg_40	and  realizing 
11_kitchen_neg_41	that  my  fingers  were  being  burned 
11_kitchen_neg_42	-LRB-  first  time  I  thought 
11_kitchen_neg_43	it  was  a  fluke  ,  second  time 
11_kitchen_neg_44	I  learned  my  lesson  -RRB- 
11_kitchen_neg_45	and  dropped  the  item  on  the  hard  stove  surface  below  the  microwave  . 
11_kitchen_neg_46	I  emailed  Sango  several  times 
11_kitchen_neg_47	and  received  no  response  at  all  . 
11_kitchen_neg_48	While  I  liked  the  set  a  lot  initially  , 
11_kitchen_neg_49	I  have  been  very  disappointed  over  time  with  its  quality  . 
11_kitchen_neg_50	I  will  never  purchase  another  from  Sango  again 
18_gourmet_pos_1	I  `  ve  been  ruling  Adab  ,  the  biggest  little  city-state  in  Sumeria  ,  for  almost  .  .  . 
18_gourmet_pos_2	Has  it  been  70  years  ? 
18_gourmet_pos_3	Wow  , 
18_gourmet_pos_4	it  just  seems  like  yesterday  Mesh-Ki-Ang-Nanna  was  vanquished 
18_gourmet_pos_5	and  the  kingship  was  taken  from  Urim  . 
18_gourmet_pos_6	LOL  . 
18_gourmet_pos_7	Anyways  ,  due  to  my  hectic  schedule  of  riding  through  the  streets  , 
18_gourmet_pos_8	standing  atop  my  jeweled  chariot 
18_gourmet_pos_9	pulled  by  a  team  of  grunting  oxen  on  my  way 
18_gourmet_pos_10	to  the  ziggurat  , 
18_gourmet_pos_11	I  barely  have  time  to  be  fed  anymore  . 
18_gourmet_pos_12	It  's  not  as  if  I  can  be  expected  to  munch  on  a  wieldy  leg  of  lamb  during  my  morning  full  body  shave  . 
18_gourmet_pos_13	But  then  one  day  a  traveler  who  I  had  commanded  to  bring  back  the  finest  exoticities  from  the  farthest  ends  of  our  flat  disc  ,  came  to  me  with  a  handful  of  small  round  pellets  . 
18_gourmet_pos_14	"He  called  them  ""  California  Red  Seedless  Grapes  ""  . "
18_gourmet_pos_15	I  had  him  immediately  put  to  death  for  reciting  words 
18_gourmet_pos_16	I  had  never  heard  before  , 
18_gourmet_pos_17	but  I  was  intrigued  . 
18_gourmet_pos_18	And  would  n't  you  know  it  , 
18_gourmet_pos_19	but  during  my  afternoon  copulation  with  two  dozen  virgins  ,  these  grapes  were  exactly  what  I  needed  . 
18_gourmet_pos_20	I  was  able  to  do  my  usual  defiling 
18_gourmet_pos_21	of  whomever 
18_gourmet_pos_22	I  choosed  and  yet  due  to  the  curious  vine  these  pellets  hung  upon  ,  never 
18_gourmet_pos_23	once  was  I  unable  to  calm  my  disgustingly  bloated  belly  . 
18_gourmet_pos_24	And  did  I  mention  the  taste  ? 
18_gourmet_pos_25	IMHO  , 
18_gourmet_pos_26	It  's  like  a  glorious  gift  from  Enlil  that  both  An  and  Ki  have  given  their  blessing  to  ,  with  the  bonus  of  no  seeds  . 
18_gourmet_pos_27	I  mean  seriously  ,  our  Gods  are  truly  seers  of  all  to  know 
18_gourmet_pos_28	that  I  'm  no  fan  of  seeds  . 
18_gourmet_pos_29	But  in  conclusion 
18_gourmet_pos_30	while  I  still  do  n't  know 
18_gourmet_pos_31	"where  this  ""  California  "" "
18_gourmet_pos_32	is  , 
18_gourmet_pos_33	I  know 
18_gourmet_pos_34	that  they  have  a  wonderful  fruit  , 
18_gourmet_pos_35	and  I  hope  that  soon  we  conquer  them  . 
18_gourmet_pos_36	I  also  hope  they  have  virgins  . 
18_gourmet_pos_37	Also  since  I  'm  already  here  , 
18_gourmet_pos_38	you  guys  heard  the  one  about  the  three  ox-drivers  from  Adab  ? 
18_gourmet_pos_39	You  know  , 
18_gourmet_pos_40	"where  the  punchline  is  ""  With  elaborate  words  ,  with  elaborate  words  ,  the  case  of  the  citizens  of  Adab  was  settled  . "
18_gourmet_pos_41	Pa-nijin-jara  , 
18_gourmet_pos_42	"their  sage  ,  the  scholar  ,  the  god  of  Adab  ,  was  the  scribe  .  ""  ? "
18_gourmet_pos_43	LMAO  , 
18_gourmet_pos_44	that  gets  me  every  time 
8_gourmet_neg_1	We  were  happy  with  the  gift  baskets 
8_gourmet_neg_2	that  were  delivered  . 
8_gourmet_neg_3	However  the  company  only  has  one  distribution  center  in  California  , 
8_gourmet_neg_4	which  is  obviously  not  efficient  to  deliver  to  the  East  Coast  . 
8_gourmet_neg_5	Despite  the  company  's  ambitions 
8_gourmet_neg_6	to  become  a  national  company  , 
8_gourmet_neg_7	they  are  not  willing  to  pony  up  the  money  to  get  additional  distribution  facilities  outside  of  California  . 
8_gourmet_neg_8	This  maybe  great  if  you  live  in  California  . 
8_gourmet_neg_9	However  I  live  in  Florida 
8_gourmet_neg_10	and  I  ordered  on  December  22 
8_gourmet_neg_11	and  my  basket  did  not  arrive  until  January  4th  . 
8_gourmet_neg_12	I  think 
8_gourmet_neg_13	that  would  be  unacceptable  in  anyone  's  view  , 
8_gourmet_neg_14	espescially  since  giving  a  gift  basket  can  be  time-sensitive  . 
8_gourmet_neg_15	Until  this  company  gets  with  the  program 
8_gourmet_neg_16	and  gets  other  distribution  facilities  I  would  stay  away 
8_gourmet_neg_17	unless  you  want  to  wait  two  weeks  for  a  simple  basket  to  be  delivered  . 
2_cell_neg_1	First  ,  let 
2_cell_neg_2	me  say 
2_cell_neg_3	that  I  really  wanted  to  like  this  device  . 
2_cell_neg_4	I  had  patience  and  understanding  for  a  while 
2_cell_neg_5	but  it  got  me  nowhere  . 
2_cell_neg_6	The  main  issue  with  this  phone  is  its  operating  system  : 
2_cell_neg_7	Windows  Mobile  5.0  . 
2_cell_neg_8	This  OS  is  a  piece  of  fluff  garbage  . 
2_cell_neg_9	Simple  things  that  should  take  a  click  or  two  have  become  so  difficult 
2_cell_neg_10	to  access  that  you  basically  just  give  up  . 
2_cell_neg_11	Main  Gripes 
2_cell_neg_12	----------- 
2_cell_neg_13	Connectivity  with  T-Mobile  is  horrible  : 
2_cell_neg_14	accessing  the  aim  function  does  n't  work  9  times  out  of  10  . 
2_cell_neg_15	E-mail  functions  are  useless  . 
2_cell_neg_16	I  tried 
2_cell_neg_17	finding  a  solution  for  hours  and  the  best  I  got  was  having  my  email 
2_cell_neg_18	checked  every  hour 
2_cell_neg_19	but  deleted  shortly  after  that  . 
2_cell_neg_20	Internet  explorer  can  NEVER  find  the  page  that  I  'm  looking  for  and  consistently  tells  me  to  try  again  . 
2_cell_neg_21	Even  when  connected  to  wi-fi  this  happens  . 
2_cell_neg_22	Let  me  tell  you  also  that  this  device  does  not  let  you  choose  between  wi-fi  and  edge  . 
2_cell_neg_23	If  you  already  opened  IE  and  you  were  using  EDGE  then  it  will  continue  to  use  EDGE 
2_cell_neg_24	unless  you  restart  the  phone  with  wi-fi  enabled  . 
2_cell_neg_25	Calls 
2_cell_neg_26	----- 
2_cell_neg_27	Making  a  call  was  so  difficult  that  I  wanted  to  smash  the  phone  on  a  daily  basis  . 
2_cell_neg_28	Usually  , 
2_cell_neg_29	I  would  press  talk 
2_cell_neg_30	to  dial  a  call 
2_cell_neg_31	"and  it  would  immediately  say  ""  Call  Ended  .  "" "
2_cell_neg_32	It  's  as  if  the  device  does  n't  even  want  to  try  . 
2_cell_neg_33	Also  , 
2_cell_neg_34	when  answering  a  call  ,  well  trying  to  answer  a  call  , 
2_cell_neg_35	it  would  drop  it  as  soon  as  I  pressed  talk  . 
2_cell_neg_36	What  the  HELL  is  THAT  !  ? 
2_cell_neg_37	What  good  is  a  phone 
2_cell_neg_38	if  you  ca  n't  make  or  receive  calls  ? 
2_cell_neg_39	Keep  in  mind  this  happens  around  half  the  time  . 
2_cell_neg_40	Also  keep  in  mind  that  I  live  in  NEW  YORK  CITY  ! 
2_cell_neg_41	My  calls  should  not  be  dropping  except  for  when  I  'm  in  the  subway  . 
2_cell_neg_42	The  side  volume  button  is  extremely  annoying  causing  the  volume 
2_cell_neg_43	to  go  to  both  extremes  within  one  conversation  . 
2_cell_neg_44	Not  only  that  , 
2_cell_neg_45	but  when  you  disable  it  , 
2_cell_neg_46	you  have  no  other  method  of  changing  the  volume  on  the  device  . 
2_cell_neg_47	ARGGGHHH  ! 
2_cell_neg_48	Keyboard 
2_cell_neg_49	------- 
2_cell_neg_50	While  the  keyboard  is  basically  easy  to  type  on  ,  the  phone  is  buggy  . 
2_cell_neg_51	First  off  ,  the  t9  sucks  ! 
2_cell_neg_52	It  will  completely  change  the  word 
2_cell_neg_53	you  are  typing  to  a  word 
2_cell_neg_54	that  's  in  its  dictionary 
2_cell_neg_55	while  you  `  re  typing  ! 
2_cell_neg_56	EXTREMELY  FRUSTRATING  ! 
2_cell_neg_57	Now  get  this  , 
2_cell_neg_58	you  ca  n't  even  permanently  keep  the  t9  off  . 
2_cell_neg_59	So  you  have  to  keep  going  into  the  menu 
2_cell_neg_60	to  change  it  to  normal  ABC  mode  . 
2_cell_neg_61	While  I  appreciate  the  ability  to  have  faster  typing  ,  is  n't  the  whole  point  of  a  QWERTY 
2_cell_neg_62	being  able  to  type  without  using  t9  ? 
2_cell_neg_63	"When  you  actually  get  to  typing  ,  sometimes  ,  the  keys  will  ""  stick  "" "
2_cell_neg_64	and  a  character  will  continuously  repeat  until  you  stop  it  . 
2_cell_neg_65	This  is  n't  a  physical  keyboard  issue  but  yet  another  software  issue  . 
2_cell_neg_66	Programs 
2_cell_neg_67	------- 
2_cell_neg_68	For  all 
2_cell_neg_69	you  techno  oriented  people  out  there 
2_cell_neg_70	-LRB-  basically  everyone  buying  this  phone  -RRB-  , 
2_cell_neg_71	the  programs  this  device  has  available  for  download  are  minuscule  . 
2_cell_neg_72	Not  only  is  the  catalog  of  programs  extremely  limited 
2_cell_neg_73	but  when  using  a  JAVA  program 
2_cell_neg_74	-LRB- 
2_cell_neg_75	which  most  programs  are  coded  in  -RRB- 
2_cell_neg_76	the  Dash  's  JAVA  program  will  not  allow 
2_cell_neg_77	you 
2_cell_neg_78	to  open  those  programs  . 
2_cell_neg_79	I  ALWAYS  get  an  error 
2_cell_neg_80	"stating  ""  A  Java  midlet  is  not  responding  "" "
2_cell_neg_81	It  then  gives  me  the  choice  of  waiting  or  killing  the  app  . 
2_cell_neg_82	Neither  of  which  solve 
2_cell_neg_83	anything  . 
2_cell_neg_84	This  phone  is  so  useless 
2_cell_neg_85	it  's  beyond  words  . 
2_cell_neg_86	I  could  go  on  and  on  about  it  's  issues 
2_cell_neg_87	but  I  really  do  n't  care  to  . 
2_cell_neg_88	STAY  AWAY  FROM  THIS  PHONE  ! 
2_cell_neg_89	While  T-mobile  customer  support  is  very  helpful  and  friendly  , 
2_cell_neg_90	their  service\/coverage  is  non-existent  . 
2_cell_neg_91	Calls  are  constantly  dropped  , 
2_cell_neg_92	I  get  voice  mails 
2_cell_neg_93	without  the  phone  even  ringing  , 
2_cell_neg_94	and  internet  connectivity  is  never  really  available  . 
2_cell_neg_95	Please  ,  do  yourself  a  favor 
2_cell_neg_96	and  wait  for  the  iPhone  . 
11_cell_pos_1	I  purchased  this  Nokia  5300  Black  at  the  T-Mobile  store  . 
